subj_idx,group_idx,turn_type,task_type,snr_type,trial_num,step_att,response,rt,step_unatnd
3,Left,LMC,Tone,Clear,1,3,1,1.27141710000069,1
3,Left,LMC,Tone,Clear,2,1,0,0.673255499999868,5
3,Left,LMC,Tone,Clear,3,2,0,0.574463200000537,1
3,Left,LMC,Tone,Clear,4,2,0,0.695048400000815,2
3,Left,LMC,Tone,Clear,5,3,0,0.8235382999992,5
3,Left,LMC,Tone,Clear,6,3,1,0.770192899999529,4
3,Left,LMC,Tone,Clear,7,5,1,0.570276999998896,3
3,Left,LMC,Tone,Clear,8,2,0,0.765284200000679,4
3,Left,LMC,Tone,Clear,9,4,1,0.727381000000605,4
3,Left,LMC,Tone,Clear,10,5,1,0.598866199999975,4
3,Left,LMC,Tone,Clear,11,4,1,0.562507000000551,3
3,Left,LMC,Tone,Clear,12,5,1,0.627464700000928,3
3,Left,LMC,Tone,Clear,13,2,0,0.848675000001094,2
3,Left,LMC,Tone,Clear,14,3,0,0.825598099998388,1
3,Left,LMC,Tone,Clear,15,1,0,0.616606199999296,1
3,Left,LMC,Tone,Clear,16,4,1,0.576251399999819,1
3,Left,LMC,Tone,Clear,17,3,0,0.7605566000002,4
3,Left,LMC,Tone,Clear,18,1,0,0.774771399999736,2
3,Left,LMC,Tone,Clear,19,5,1,0.685659500000838,2
3,Left,LMC,Tone,Clear,20,4,1,0.755680899999788,5
3,Left,LMC,Tone,Clear,21,4,0,1.04913959999976,2
3,Left,LMC,Tone,Clear,22,3,1,0.817644400000063,5
3,Left,LMC,Tone,Clear,23,5,1,0.609324200000628,5
3,Left,LMC,Tone,Clear,24,2,0,0.729493299999376,3
3,Left,LMC,Tone,Clear,25,1,0,0.627639500000441,3
3,Left,LMC,Tone,Clear,26,3,1,0.687663999999131,3
3,Left,LMC,Tone,Clear,27,4,1,0.652751499999795,3
3,Left,LMC,Tone,Clear,28,4,1,0.756061199999749,2
3,Left,LMC,Tone,Clear,29,2,0,0.762088199999198,3
3,Left,LMC,Tone,Clear,30,2,0,0.742604400000346,4
3,Left,LMC,Tone,Clear,31,1,0,0.599483599999076,3
3,Left,LMC,Tone,Clear,32,5,1,0.527216800001042,1
3,Left,LMC,Tone,Clear,33,3,1,0.823313099999723,3
3,Left,LMC,Tone,Clear,34,1,0,0.750840999999127,4
3,Left,LMC,Tone,Clear,35,3,1,0.752507299999706,2
3,Left,LMC,Tone,Clear,36,4,1,0.650774399999136,4
3,Left,LMC,Tone,Clear,37,2,0,0.699112199999945,5
3,Left,LMC,Tone,Clear,38,3,1,0.69790439999997,3
3,Left,LMC,Tone,Clear,39,3,1,0.663268700000117,2
3,Left,LMC,Tone,Clear,40,2,0,0.627020699999775,3
3,Left,LMC,Tone,Clear,41,3,1,0.691619799999899,3
3,Left,LMC,Tone,Clear,42,5,1,0.768048600000839,2
3,Left,LMC,Tone,Clear,43,2,0,0.882340000000113,2
3,Left,LMC,Tone,Clear,44,1,0,0.732099300001209,4
3,Left,LMC,Tone,Clear,45,2,0,0.790097700000842,1
3,Left,LMC,Tone,Clear,46,1,0,0.711420400000861,3
3,Left,LMC,Tone,Clear,47,4,1,0.755532799999855,2
3,Left,LMC,Tone,Clear,48,3,1,1.08842899999945,5
3,Left,LMC,Tone,Clear,49,4,1,0.577201699999932,4
3,Left,LMC,Tone,Clear,50,4,1,0.581252299998596,5
3,Left,LMC,Tone,Clear,51,4,1,0.530565199998819,3
3,Left,LMC,Tone,Clear,52,5,1,0.583931200000734,3
3,Left,LMC,Tone,Clear,53,3,1,0.624564800000371,1
3,Left,LMC,Tone,Clear,54,1,0,0.725642499999594,2
3,Left,LMC,Tone,Clear,55,4,1,0.749164299999393,2
3,Left,LMC,Tone,Clear,56,2,0,0.770880400001261,4
