,subj_idx,group_idx,turn_type,task_type,snr_type,trial_num,step_att,response,rt,step_unatnd
780,55,Larynx,Left cTBS,Cons,Clear,1,4,1,0.681244200008223,1
781,55,Larynx,Left cTBS,Cons,Clear,2,2,0,0.438170199980959,1
782,55,Larynx,Left cTBS,Cons,Clear,3,1,1,0.386652500019409,1
783,55,Larynx,Left cTBS,Cons,Clear,4,5,1,0.42003040001145603,1
784,55,Larynx,Left cTBS,Cons,Clear,5,1,0,0.571299200004432,1
785,55,Larynx,Left cTBS,Cons,Clear,6,5,1,0.37344959998154104,1
786,55,Larynx,Left cTBS,Cons,Clear,7,2,1,0.462528299976839,1
787,55,Larynx,Left cTBS,Cons,Clear,8,3,1,0.4920495000260421,1
788,55,Larynx,Left cTBS,Cons,Clear,9,4,1,0.504294300015317,1
789,55,Larynx,Left cTBS,Cons,Clear,10,4,1,0.471557499986375,1
790,55,Larynx,Left cTBS,Cons,Clear,11,3,1,0.9354072000132869,1
791,55,Larynx,Left cTBS,Cons,Clear,12,1,0,0.578617999999551,1
792,55,Larynx,Left cTBS,Cons,Clear,13,2,1,0.56204119999893,1
793,55,Larynx,Left cTBS,Cons,Clear,14,1,0,0.553085899999132,1
794,55,Larynx,Left cTBS,Cons,Clear,15,4,1,0.351942799985409,1
795,55,Larynx,Left cTBS,Cons,Clear,16,3,1,0.714067199995043,1
796,55,Larynx,Left cTBS,Cons,Clear,17,3,1,0.5398372000199739,1
797,55,Larynx,Left cTBS,Cons,Clear,18,3,1,0.6474311999918431,1
798,55,Larynx,Left cTBS,Cons,Clear,19,1,0,0.48303610002039904,1
799,55,Larynx,Left cTBS,Cons,Clear,20,1,0,0.579702899995027,1
800,55,Larynx,Left cTBS,Cons,Clear,21,2,1,0.439758400025312,1
801,55,Larynx,Left cTBS,Cons,Clear,22,2,1,0.7292725000006609,1
802,55,Larynx,Left cTBS,Cons,Clear,23,3,1,0.608182700001635,1
803,55,Larynx,Left cTBS,Cons,Clear,24,4,1,0.709676600003149,1
804,55,Larynx,Left cTBS,Cons,Clear,25,5,1,0.548747299995739,1
805,55,Larynx,Left cTBS,Cons,Clear,26,5,1,0.00047139998059719806,1
806,55,Larynx,Left cTBS,Cons,Clear,27,2,1,2.35273749998305,1
807,55,Larynx,Left cTBS,Cons,Clear,28,3,1,0.7545686999801551,1
808,55,Larynx,Left cTBS,Cons,Clear,29,2,0,0.728550500003621,1
809,55,Larynx,Left cTBS,Cons,Clear,30,3,1,0.56114120001439,1
810,55,Larynx,Left cTBS,Cons,Clear,31,2,0,0.635304199997336,1
811,55,Larynx,Left cTBS,Cons,Clear,32,3,1,0.432991399982711,1
812,55,Larynx,Left cTBS,Cons,Clear,33,3,1,1.2242084999743401,1
813,55,Larynx,Left cTBS,Cons,Clear,34,4,1,0.51315500002238,1
814,55,Larynx,Left cTBS,Cons,Clear,35,5,1,0.633826199977193,1
815,55,Larynx,Left cTBS,Cons,Clear,36,5,1,0.556184699991718,1
816,55,Larynx,Left cTBS,Cons,Clear,37,4,1,0.606878899998264,1
817,55,Larynx,Left cTBS,Cons,Clear,38,3,1,0.6051730999897701,1
818,55,Larynx,Left cTBS,Cons,Clear,39,4,1,0.5656604999967391,1
819,55,Larynx,Left cTBS,Cons,Clear,40,1,0,0.546819100010907,1
820,55,Larynx,Left cTBS,Cons,Clear,41,1,0,0.73914779999177,1
821,55,Larynx,Left cTBS,Cons,Clear,42,3,1,0.620229699998163,1
822,55,Larynx,Left cTBS,Cons,Clear,43,2,1,0.870508599997265,1
823,55,Larynx,Left cTBS,Cons,Clear,44,4,1,0.8208880999882241,1
824,55,Larynx,Left cTBS,Cons,Clear,45,3,1,0.862316500017187,1
825,55,Larynx,Left cTBS,Cons,Clear,46,2,1,1.35270419999142,1
826,55,Larynx,Left cTBS,Cons,Clear,47,3,1,0.638282799976878,1
827,55,Larynx,Left cTBS,Cons,Clear,48,4,1,1.62584130000323,1
828,55,Larynx,Left cTBS,Cons,Clear,49,3,1,0.6010181999881751,1
829,55,Larynx,Left cTBS,Cons,Clear,50,5,1,0.940392799995607,1
830,55,Larynx,Left cTBS,Cons,Clear,51,4,1,0.570211000012932,1
831,55,Larynx,Left cTBS,Cons,Clear,52,1,0,0.550720300001558,1
832,55,Larynx,Left cTBS,Cons,Clear,53,5,1,1.55664110000362,1
833,55,Larynx,Left cTBS,Cons,Clear,54,4,1,0.620421600004192,1
834,55,Larynx,Left cTBS,Cons,Clear,55,5,1,0.713842800003476,1
835,55,Larynx,Left cTBS,Cons,Clear,56,3,1,0.566230299999006,1
836,55,Larynx,Left cTBS,Cons,Clear,57,5,1,1.26043950000894,1
837,55,Larynx,Left cTBS,Cons,Clear,58,2,0,0.613954599975841,1
838,55,Larynx,Left cTBS,Cons,Clear,59,3,1,1.09147250000387,1
839,55,Larynx,Left cTBS,Cons,Clear,60,3,1,1.40900089999195,1
840,55,Larynx,Left cTBS,Cons,Clear,61,4,1,0.591949800000293,1
841,55,Larynx,Left cTBS,Cons,Clear,62,2,1,1.13459609998972,1
842,55,Larynx,Left cTBS,Cons,Clear,63,2,0,1.08029529999476,1
843,55,Larynx,Left cTBS,Cons,Clear,64,4,1,0.6019322000211099,1
844,55,Larynx,Left cTBS,Cons,Clear,65,4,1,0.524752299999818,1
845,55,Larynx,Left cTBS,Cons,Clear,66,4,1,0.722407499997644,1
846,55,Larynx,Left cTBS,Cons,Clear,67,2,0,0.5710268999973779,1
847,55,Larynx,Left cTBS,Cons,Clear,68,5,1,0.8030234999896491,1
848,55,Larynx,Left cTBS,Cons,Clear,69,3,1,0.5946270000131341,1
849,55,Larynx,Left cTBS,Cons,Clear,70,3,0,0.7023808000085411,1
850,55,Larynx,Left cTBS,Cons,Clear,71,3,1,1.1411960000114099,1
851,55,Larynx,Left cTBS,Cons,Clear,72,1,1,1.23390039999504,1
852,55,Larynx,Left cTBS,Cons,Clear,73,1,0,0.595842400012771,1
853,55,Larynx,Left cTBS,Cons,Clear,74,1,0,0.523137799988035,1
854,55,Larynx,Left cTBS,Cons,Clear,75,3,1,0.840237700002035,1
855,55,Larynx,Left cTBS,Cons,Clear,76,2,1,0.726310099998955,1
856,55,Larynx,Left cTBS,Cons,Clear,77,2,1,0.588577199989231,1
857,55,Larynx,Left cTBS,Cons,Clear,78,5,1,0.569932499987772,1
858,55,Larynx,Left cTBS,Cons,Clear,79,4,1,0.000991400011116639,1
859,55,Larynx,Left cTBS,Cons,Clear,80,5,1,1.5910739999963,1
860,55,Larynx,Left cTBS,Cons,Clear,81,3,1,1.3718986999883798,1
861,55,Larynx,Left cTBS,Cons,Clear,82,4,1,0.5780941999983039,1
862,55,Larynx,Left cTBS,Cons,Clear,83,1,0,0.549715900007868,1
863,55,Larynx,Left cTBS,Cons,Clear,84,3,1,0.795971099985763,1
864,55,Larynx,Left cTBS,Cons,Clear,85,5,1,0.595219900016673,1
865,55,Larynx,Left cTBS,Cons,Clear,86,3,1,0.577953400003025,1
866,55,Larynx,Left cTBS,Cons,Clear,87,3,0,0.6745076999941378,1
867,55,Larynx,Left cTBS,Cons,Clear,88,2,1,1.33340179998777,1
868,55,Larynx,Left cTBS,Cons,Clear,89,2,1,0.8797154999920171,1
869,55,Larynx,Left cTBS,Cons,Clear,90,4,1,0.67033750002156,1
870,55,Larynx,Left cTBS,Cons,Clear,91,5,1,0.965152999997372,1
871,55,Larynx,Left cTBS,Cons,Clear,92,4,1,0.641218699980527,1
872,55,Larynx,Left cTBS,Cons,Clear,93,4,1,1.45946449998883,1
873,55,Larynx,Left cTBS,Cons,Clear,94,3,1,0.614433400012786,1
874,55,Larynx,Left cTBS,Cons,Clear,95,4,1,0.5052307999867479,1
875,55,Larynx,Left cTBS,Cons,Clear,96,3,1,0.4595067999907771,1
876,55,Larynx,Left cTBS,Cons,Clear,97,5,1,0.551174099993659,1
877,55,Larynx,Left cTBS,Cons,Clear,98,3,1,0.49907610000809705,1
878,55,Larynx,Left cTBS,Cons,Clear,99,2,1,0.9554867999977429,1
879,55,Larynx,Left cTBS,Cons,Clear,100,2,1,0.5795433999737719,1
880,55,Larynx,Left cTBS,Cons,Clear,101,1,0,0.6460393000161279,1
881,55,Larynx,Left cTBS,Cons,Clear,102,2,0,0.710187299991958,1
882,55,Larynx,Left cTBS,Cons,Clear,103,4,1,0.6341335000179239,1
883,55,Larynx,Left cTBS,Cons,Clear,104,2,1,1.03993410000112,1
884,55,Larynx,Left cTBS,Cons,Clear,105,3,0,1.1392969000153201,1
885,55,Larynx,Left cTBS,Cons,Clear,106,5,1,0.630377499997849,1
