,subj_idx,group_idx,turn_type,task_type,snr_type,trial_num,step_att,response,rt,step_unatnd
936,55,Larynx,Left cTBS,Tone,Noise,1,1,1,2.09143970001605,1
937,55,Larynx,Left cTBS,Tone,Noise,2,3,1,1.2406935000035402,1
938,55,Larynx,Left cTBS,Tone,Noise,3,2,0,0.807820299989544,1
939,55,Larynx,Left cTBS,Tone,Noise,4,3,1,0.657185399992159,1
940,55,Larynx,Left cTBS,Tone,Noise,5,3,1,0.594941800023662,1
941,55,Larynx,Left cTBS,Tone,Noise,6,2,1,0.785241100005805,1
942,55,Larynx,Left cTBS,Tone,Noise,7,5,1,0.7557681000034789,1
943,55,Larynx,Left cTBS,Tone,Noise,8,1,0,0.788189199985936,1
944,55,Larynx,Left cTBS,Tone,Noise,9,3,1,0.644714499998372,1
945,55,Larynx,Left cTBS,Tone,Noise,10,1,1,0.754421299992828,1
946,55,Larynx,Left cTBS,Tone,Noise,11,2,1,0.64617220000946,1
947,55,Larynx,Left cTBS,Tone,Noise,12,2,0,0.6411615000106391,1
948,55,Larynx,Left cTBS,Tone,Noise,13,5,1,0.5206312999944199,1
949,55,Larynx,Left cTBS,Tone,Noise,14,5,1,0.82759659999283,1
950,55,Larynx,Left cTBS,Tone,Noise,15,4,1,0.8395086000091401,1
951,55,Larynx,Left cTBS,Tone,Noise,16,1,0,0.61245109999436,1
952,55,Larynx,Left cTBS,Tone,Noise,17,4,1,0.8682188999955541,1
953,55,Larynx,Left cTBS,Tone,Noise,18,3,1,1.28343029998359,1
954,55,Larynx,Left cTBS,Tone,Noise,19,3,1,0.728652899997542,1
955,55,Larynx,Left cTBS,Tone,Noise,20,4,0,0.6650774000154339,1
956,55,Larynx,Left cTBS,Tone,Noise,21,1,1,0.7602696999965699,1
957,55,Larynx,Left cTBS,Tone,Noise,22,4,1,0.688748199987458,1
958,55,Larynx,Left cTBS,Tone,Noise,23,4,1,0.6412913999811279,1
959,55,Larynx,Left cTBS,Tone,Noise,24,3,1,0.985285400005523,1
