,subj_idx,group_idx,turn_type,task_type,snr_type,trial_num,step_att,response,rt,step_unatnd
624,55,Larynx,Left cTBS,Tone,Clear,1,3,1,0.6480343000148421,1
625,55,Larynx,Left cTBS,Tone,Clear,2,5,1,0.489868100004969,1
626,55,Larynx,Left cTBS,Tone,Clear,3,5,1,0.45098699998925396,1
627,55,Larynx,Left cTBS,Tone,Clear,4,3,1,0.436913899990032,1
628,55,Larynx,Left cTBS,Tone,Clear,5,4,1,0.43487220001406995,1
629,55,Larynx,Left cTBS,Tone,Clear,6,2,0,0.46721150001394607,1
630,55,Larynx,Left cTBS,Tone,Clear,7,3,1,0.7403330000233841,1
631,55,Larynx,Left cTBS,Tone,Clear,8,3,1,0.5576422999729399,1
632,55,Larynx,Left cTBS,Tone,Clear,9,1,0,0.48837890001596,1
633,55,Larynx,Left cTBS,Tone,Clear,10,2,0,0.5178360999852879,1
634,55,Larynx,Left cTBS,Tone,Clear,11,1,0,0.493879300018307,1
635,55,Larynx,Left cTBS,Tone,Clear,12,1,0,0.5804472000163511,1
636,55,Larynx,Left cTBS,Tone,Clear,13,3,1,0.419108399975812,1
637,55,Larynx,Left cTBS,Tone,Clear,14,3,1,0.459998800011817,1
638,55,Larynx,Left cTBS,Tone,Clear,15,1,0,0.538770000013756,1
639,55,Larynx,Left cTBS,Tone,Clear,16,1,0,0.461385800008429,1
640,55,Larynx,Left cTBS,Tone,Clear,17,3,1,0.511228700022912,1
641,55,Larynx,Left cTBS,Tone,Clear,18,3,1,0.47247420001076507,1
642,55,Larynx,Left cTBS,Tone,Clear,19,4,1,0.6369946000049821,1
643,55,Larynx,Left cTBS,Tone,Clear,20,5,1,0.521011600008933,1
644,55,Larynx,Left cTBS,Tone,Clear,21,2,0,0.6253992999845649,1
645,55,Larynx,Left cTBS,Tone,Clear,22,2,0,0.77170159999514,1
646,55,Larynx,Left cTBS,Tone,Clear,23,5,1,0.724569800018799,1
647,55,Larynx,Left cTBS,Tone,Clear,24,5,1,1.00105469999835,1
648,55,Larynx,Left cTBS,Tone,Clear,25,5,1,0.496224100003019,1
649,55,Larynx,Left cTBS,Tone,Clear,26,2,0,1.02170899999328,1
650,55,Larynx,Left cTBS,Tone,Clear,27,4,1,0.632446100004017,1
651,55,Larynx,Left cTBS,Tone,Clear,28,1,0,0.539831400004914,1
652,55,Larynx,Left cTBS,Tone,Clear,29,2,1,0.23866010000347196,1
653,55,Larynx,Left cTBS,Tone,Clear,30,3,1,0.661057000019355,1
654,55,Larynx,Left cTBS,Tone,Clear,31,4,1,0.8191692999971558,1
655,55,Larynx,Left cTBS,Tone,Clear,32,4,1,0.7544074000034019,1
656,55,Larynx,Left cTBS,Tone,Clear,33,4,1,0.526664800010622,1
657,55,Larynx,Left cTBS,Tone,Clear,34,3,1,0.724907900003018,1
658,55,Larynx,Left cTBS,Tone,Clear,35,3,1,0.747320700000273,1
659,55,Larynx,Left cTBS,Tone,Clear,36,4,1,1.0661433000059302,1
660,55,Larynx,Left cTBS,Tone,Clear,37,2,0,1.2514586999896,1
661,55,Larynx,Left cTBS,Tone,Clear,38,4,1,0.483558700012509,1
662,55,Larynx,Left cTBS,Tone,Clear,39,2,1,0.9767224999959581,1
663,55,Larynx,Left cTBS,Tone,Clear,40,3,1,0.563267299992731,1
664,55,Larynx,Left cTBS,Tone,Clear,41,3,1,0.463429399998859,1
665,55,Larynx,Left cTBS,Tone,Clear,42,4,1,0.5760289000172629,1
666,55,Larynx,Left cTBS,Tone,Clear,43,5,1,0.567749899986666,1
667,55,Larynx,Left cTBS,Tone,Clear,44,5,1,2.4965565000020398,1
668,55,Larynx,Left cTBS,Tone,Clear,45,2,0,0.733042599982582,1
669,55,Larynx,Left cTBS,Tone,Clear,46,5,1,0.556023000011919,1
670,55,Larynx,Left cTBS,Tone,Clear,47,2,0,0.615535900025861,1
671,55,Larynx,Left cTBS,Tone,Clear,48,1,1,1.10018389998004,1
672,55,Larynx,Left cTBS,Tone,Clear,49,1,1,0.8616355000121979,1
