,subj_idx,group_idx,turn_type,task_type,snr_type,trial_num,step_att,response,rt,step_unatnd
2340,55,Larynx,Right cTBS,Cons,Noise,1,4,1,1.56720330000098,1
2341,55,Larynx,Right cTBS,Cons,Noise,2,3,1,0.8659024000080541,1
2342,55,Larynx,Right cTBS,Cons,Noise,3,4,0,0.8074063000094609,1
2343,55,Larynx,Right cTBS,Cons,Noise,4,5,0,0.645324099998106,1
2344,55,Larynx,Right cTBS,Cons,Noise,5,2,1,0.8507234999997308,1
2345,55,Larynx,Right cTBS,Cons,Noise,6,1,0,0.731251999997767,1
2346,55,Larynx,Right cTBS,Cons,Noise,7,2,1,0.7728908000135559,1
2347,55,Larynx,Right cTBS,Cons,Noise,8,4,1,0.744159699999727,1
2348,55,Larynx,Right cTBS,Cons,Noise,9,1,0,0.559179899995797,1
2349,55,Larynx,Right cTBS,Cons,Noise,10,3,1,0.491038499996648,1
2350,55,Larynx,Right cTBS,Cons,Noise,11,4,1,0.510589500001515,1
2351,55,Larynx,Right cTBS,Cons,Noise,12,1,1,0.572342300001765,1
2352,55,Larynx,Right cTBS,Cons,Noise,13,5,1,0.7702242999948791,1
2353,55,Larynx,Right cTBS,Cons,Noise,14,3,1,0.512002300005406,1
2354,55,Larynx,Right cTBS,Cons,Noise,15,3,0,0.646731800006819,1
2355,55,Larynx,Right cTBS,Cons,Noise,16,5,1,0.784180600006948,1
2356,55,Larynx,Right cTBS,Cons,Noise,17,2,1,0.576587799994741,1
2357,55,Larynx,Right cTBS,Cons,Noise,18,2,1,0.5900467000028579,1
2358,55,Larynx,Right cTBS,Cons,Noise,19,3,1,0.5674304999993179,1
2359,55,Larynx,Right cTBS,Cons,Noise,20,4,1,0.7844859000033471,1
2360,55,Larynx,Right cTBS,Cons,Noise,21,3,1,0.5086943000060271,1
2361,55,Larynx,Right cTBS,Cons,Noise,22,4,1,0.537473200005479,1
2362,55,Larynx,Right cTBS,Cons,Noise,23,1,0,2.15426819999993,1
2363,55,Larynx,Right cTBS,Cons,Noise,24,3,1,2.41813660001208,1
2364,55,Larynx,Right cTBS,Cons,Noise,25,2,1,0.7605722000007521,1
2365,55,Larynx,Right cTBS,Cons,Noise,26,3,1,0.850652499997523,1
2366,55,Larynx,Right cTBS,Cons,Noise,27,4,1,0.547626200001105,1
2367,55,Larynx,Right cTBS,Cons,Noise,28,5,1,0.576864799993928,1
2368,55,Larynx,Right cTBS,Cons,Noise,29,1,1,0.670757600004436,1
2369,55,Larynx,Right cTBS,Cons,Noise,30,2,1,1.6822673999995499,1
2370,55,Larynx,Right cTBS,Cons,Noise,31,3,1,0.7373373000009449,1
2371,55,Larynx,Right cTBS,Cons,Noise,32,4,1,0.5490164000075309,1
2372,55,Larynx,Right cTBS,Cons,Noise,33,5,1,0.55971149999823,1
2373,55,Larynx,Right cTBS,Cons,Noise,34,3,1,0.8394342999963559,1
2374,55,Larynx,Right cTBS,Cons,Noise,35,2,1,0.8302859000104951,1
2375,55,Larynx,Right cTBS,Cons,Noise,36,1,1,0.8980303999996979,1
2376,55,Larynx,Right cTBS,Cons,Noise,37,2,1,0.769121800010907,1
2377,55,Larynx,Right cTBS,Cons,Noise,38,3,1,3.2431688999931803,1
2378,55,Larynx,Right cTBS,Cons,Noise,39,5,1,0.7000210999976839,1
2379,55,Larynx,Right cTBS,Cons,Noise,40,3,0,1.0440449000016099,1
2380,55,Larynx,Right cTBS,Cons,Noise,41,1,1,0.942331800004467,1
2381,55,Larynx,Right cTBS,Cons,Noise,42,1,0,2.5452820999926202,1
2382,55,Larynx,Right cTBS,Cons,Noise,43,2,0,0.587438999995356,1
2383,55,Larynx,Right cTBS,Cons,Noise,44,2,0,0.838209599998663,1
2384,55,Larynx,Right cTBS,Cons,Noise,45,2,0,1.00730270000349,1
2385,55,Larynx,Right cTBS,Cons,Noise,46,3,0,0.7724998999910891,1
2386,55,Larynx,Right cTBS,Cons,Noise,47,5,1,2.55327390000457,1
2387,55,Larynx,Right cTBS,Cons,Noise,48,5,0,1.32229650000227,1
2388,55,Larynx,Right cTBS,Cons,Noise,49,1,0,1.42984529999376,1
2389,55,Larynx,Right cTBS,Cons,Noise,50,1,0,0.665105399995809,1
2390,55,Larynx,Right cTBS,Cons,Noise,51,3,1,1.00628739999956,1
2391,55,Larynx,Right cTBS,Cons,Noise,52,4,0,0.6500089000037409,1
2392,55,Larynx,Right cTBS,Cons,Noise,53,4,0,1.05009160000191,1
2393,55,Larynx,Right cTBS,Cons,Noise,54,5,1,1.04195729999628,1
2394,55,Larynx,Right cTBS,Cons,Noise,55,5,1,0.6681016999937129,1
2395,55,Larynx,Right cTBS,Cons,Noise,56,3,1,0.605638200009707,1
2396,55,Larynx,Right cTBS,Cons,Noise,57,4,1,1.6499645000003502,1
2397,55,Larynx,Right cTBS,Cons,Noise,58,3,0,1.0476648000039899,1
2398,55,Larynx,Right cTBS,Cons,Noise,59,2,0,3.9224513999943196,1
2399,55,Larynx,Right cTBS,Cons,Noise,60,2,0,0.893859200004954,1
2400,55,Larynx,Right cTBS,Cons,Noise,61,3,0,0.7341778999980308,1
2401,55,Larynx,Right cTBS,Cons,Noise,62,4,0,0.78994080000848,1
2402,55,Larynx,Right cTBS,Cons,Noise,63,3,1,0.7227903000020891,1
2403,55,Larynx,Right cTBS,Cons,Noise,64,4,0,0.731499899993651,1
2404,55,Larynx,Right cTBS,Cons,Noise,65,2,1,0.6994650999986329,1
2405,55,Larynx,Right cTBS,Cons,Noise,66,3,0,0.641354000006686,1
2406,55,Larynx,Right cTBS,Cons,Noise,67,3,1,0.6841795000073029,1
2407,55,Larynx,Right cTBS,Cons,Noise,68,5,1,0.9633220000105209,1
2408,55,Larynx,Right cTBS,Cons,Noise,69,4,1,1.2577744000009299,1
2409,55,Larynx,Right cTBS,Cons,Noise,70,5,1,0.838624600000912,1
2410,55,Larynx,Right cTBS,Cons,Noise,71,2,0,0.897454799996922,1
2411,55,Larynx,Right cTBS,Cons,Noise,72,4,1,0.69350160000613,1
2412,55,Larynx,Right cTBS,Cons,Noise,73,2,0,1.4177780000027298,1
2413,55,Larynx,Right cTBS,Cons,Noise,74,4,1,0.7120710999879519,1
2414,55,Larynx,Right cTBS,Cons,Noise,75,1,0,1.92758150000009,1
2415,55,Larynx,Right cTBS,Cons,Noise,76,3,1,0.995126900001196,1
2416,55,Larynx,Right cTBS,Cons,Noise,77,1,0,0.700889899992035,1
2417,55,Larynx,Right cTBS,Cons,Noise,78,3,1,0.51639430000796,1
2418,55,Larynx,Right cTBS,Cons,Noise,79,5,1,1.0557938999991199,1
2419,55,Larynx,Right cTBS,Cons,Noise,80,2,0,0.6929137000115589,1
2420,55,Larynx,Right cTBS,Cons,Noise,81,4,0,1.16745189999347,1
2421,55,Larynx,Right cTBS,Cons,Noise,82,3,1,0.7289990999997829,1
2422,55,Larynx,Right cTBS,Cons,Noise,83,5,1,0.883081699998002,1
2423,55,Larynx,Right cTBS,Cons,Noise,84,1,0,1.22581030000583,1
2424,55,Larynx,Right cTBS,Cons,Noise,85,4,1,0.7436127999972092,1
2425,55,Larynx,Right cTBS,Cons,Noise,86,5,1,0.6892903999978439,1
2426,55,Larynx,Right cTBS,Cons,Noise,87,2,1,0.7994042000063929,1
2427,55,Larynx,Right cTBS,Cons,Noise,88,5,0,0.646430900000269,1
2428,55,Larynx,Right cTBS,Cons,Noise,89,5,1,1.3775803000025901,1
2429,55,Larynx,Right cTBS,Cons,Noise,90,3,1,0.9177262999874071,1
