,subj_idx,group_idx,turn_type,task_type,snr_type,trial_num,step_att,response,rt,step_unatnd
2028,55,Larynx,Right cTBS,Cons,Clear,1,3,1,1.43661530000099,1
2029,55,Larynx,Right cTBS,Cons,Clear,2,4,1,0.890449399987119,1
2030,55,Larynx,Right cTBS,Cons,Clear,3,4,1,0.5521288000018101,1
2031,55,Larynx,Right cTBS,Cons,Clear,4,5,1,0.5048651999968571,1
2032,55,Larynx,Right cTBS,Cons,Clear,5,4,1,0.48730520000390204,1
2033,55,Larynx,Right cTBS,Cons,Clear,6,4,1,0.49712909999652793,1
2034,55,Larynx,Right cTBS,Cons,Clear,7,5,1,0.5170805000088879,1
2035,55,Larynx,Right cTBS,Cons,Clear,8,5,1,0.529131899995264,1
2036,55,Larynx,Right cTBS,Cons,Clear,9,1,0,0.5296888000011679,1
2037,55,Larynx,Right cTBS,Cons,Clear,10,3,1,0.49330390000250196,1
2038,55,Larynx,Right cTBS,Cons,Clear,11,5,1,0.560370100007276,1
2039,55,Larynx,Right cTBS,Cons,Clear,12,2,0,0.6324050000112039,1
2040,55,Larynx,Right cTBS,Cons,Clear,13,3,1,0.8957169000059371,1
2041,55,Larynx,Right cTBS,Cons,Clear,14,1,0,1.3681523000123,1
2042,55,Larynx,Right cTBS,Cons,Clear,15,1,0,0.591914500007988,1
2043,55,Larynx,Right cTBS,Cons,Clear,16,2,0,1.0110902999877,1
2044,55,Larynx,Right cTBS,Cons,Clear,17,3,1,0.55380029999651,1
2045,55,Larynx,Right cTBS,Cons,Clear,18,1,0,0.609624199991231,1
2046,55,Larynx,Right cTBS,Cons,Clear,19,3,1,0.5561865000054239,1
2047,55,Larynx,Right cTBS,Cons,Clear,20,3,1,0.607320499999332,1
2048,55,Larynx,Right cTBS,Cons,Clear,21,3,1,0.609580699994694,1
2049,55,Larynx,Right cTBS,Cons,Clear,22,4,1,0.5403716000000711,1
2050,55,Larynx,Right cTBS,Cons,Clear,23,4,1,0.523060400009854,1
2051,55,Larynx,Right cTBS,Cons,Clear,24,5,1,0.489787300000899,1
2052,55,Larynx,Right cTBS,Cons,Clear,25,3,1,0.529332899997826,1
2053,55,Larynx,Right cTBS,Cons,Clear,26,3,1,0.827785200002836,1
2054,55,Larynx,Right cTBS,Cons,Clear,27,3,1,0.6450389999954499,1
2055,55,Larynx,Right cTBS,Cons,Clear,28,1,0,0.520400299996254,1
2056,55,Larynx,Right cTBS,Cons,Clear,29,4,1,0.607232099995599,1
2057,55,Larynx,Right cTBS,Cons,Clear,30,2,0,0.739962499996182,1
2058,55,Larynx,Right cTBS,Cons,Clear,31,2,1,0.4393463999876989,1
2059,55,Larynx,Right cTBS,Cons,Clear,32,3,1,0.536018600003445,1
2060,55,Larynx,Right cTBS,Cons,Clear,33,4,1,0.5222907999996099,1
2061,55,Larynx,Right cTBS,Cons,Clear,34,5,1,0.473612699992373,1
2062,55,Larynx,Right cTBS,Cons,Clear,35,2,0,0.6829924000048779,1
2063,55,Larynx,Right cTBS,Cons,Clear,36,2,0,0.5884463999973379,1
2064,55,Larynx,Right cTBS,Cons,Clear,37,2,1,0.42282379999232894,1
2065,55,Larynx,Right cTBS,Cons,Clear,38,1,0,0.40356389999215,1
2066,55,Larynx,Right cTBS,Cons,Clear,39,2,1,0.7087958000047371,1
2067,55,Larynx,Right cTBS,Cons,Clear,40,4,1,0.593144699989352,1
2068,55,Larynx,Right cTBS,Cons,Clear,41,3,1,0.580683599997428,1
2069,55,Larynx,Right cTBS,Cons,Clear,42,4,1,0.626802400001907,1
2070,55,Larynx,Right cTBS,Cons,Clear,43,1,0,0.6081440999987541,1
2071,55,Larynx,Right cTBS,Cons,Clear,44,1,0,0.646296300008544,1
2072,55,Larynx,Right cTBS,Cons,Clear,45,2,1,0.8366097999969498,1
2073,55,Larynx,Right cTBS,Cons,Clear,46,4,1,0.7443302000028779,1
2074,55,Larynx,Right cTBS,Cons,Clear,47,4,1,0.5941384999896401,1
2075,55,Larynx,Right cTBS,Cons,Clear,48,5,1,0.592282800003886,1
2076,55,Larynx,Right cTBS,Cons,Clear,49,4,1,0.704671300001792,1
2077,55,Larynx,Right cTBS,Cons,Clear,50,2,0,0.594196100006229,1
