,subj_idx,group_idx,turn_type,task_type,snr_type,trial_num,step_att,response,rt,step_unatnd
2184,55,Larynx,Right cTBS,Tone,Noise,1,2,1,3.1132897999923395,1
2185,55,Larynx,Right cTBS,Tone,Noise,2,3,1,2.09520700000576,1
2186,55,Larynx,Right cTBS,Tone,Noise,3,5,1,0.891557599999942,1
2187,55,Larynx,Right cTBS,Tone,Noise,4,5,1,0.778836800003774,1
2188,55,Larynx,Right cTBS,Tone,Noise,5,2,0,1.4912554999900702,1
2189,55,Larynx,Right cTBS,Tone,Noise,6,4,1,1.11576729999797,1
2190,55,Larynx,Right cTBS,Tone,Noise,7,1,0,1.09284510000725,1
2191,55,Larynx,Right cTBS,Tone,Noise,8,2,1,0.7534022000036199,1
2192,55,Larynx,Right cTBS,Tone,Noise,9,3,0,1.1963470000046101,1
2193,55,Larynx,Right cTBS,Tone,Noise,10,3,0,0.818410099993343,1
2194,55,Larynx,Right cTBS,Tone,Noise,11,1,1,0.769423699995968,1
2195,55,Larynx,Right cTBS,Tone,Noise,12,4,0,0.686369500006549,1
2196,55,Larynx,Right cTBS,Tone,Noise,13,3,0,0.5943120000010821,1
2197,55,Larynx,Right cTBS,Tone,Noise,14,3,0,0.38161489999038206,1
2198,55,Larynx,Right cTBS,Tone,Noise,15,1,0,0.365118100002292,1
2199,55,Larynx,Right cTBS,Tone,Noise,16,2,0,0.38566100000753095,1
2200,55,Larynx,Right cTBS,Tone,Noise,17,3,1,1.0244609999936098,1
2201,55,Larynx,Right cTBS,Tone,Noise,18,5,0,0.51471180000226,1
2202,55,Larynx,Right cTBS,Tone,Noise,19,5,0,0.449058999991394,1
2203,55,Larynx,Right cTBS,Tone,Noise,20,3,0,0.530553799995687,1
2204,55,Larynx,Right cTBS,Tone,Noise,21,4,0,1.04749789999914,1
2205,55,Larynx,Right cTBS,Tone,Noise,22,1,0,3.2972065000067206,1
2206,55,Larynx,Right cTBS,Tone,Noise,23,3,1,1.76330799999414,1
2207,55,Larynx,Right cTBS,Tone,Noise,24,5,1,0.67063190000772,1
2208,55,Larynx,Right cTBS,Tone,Noise,25,2,1,2.5557822999981,1
2209,55,Larynx,Right cTBS,Tone,Noise,26,3,1,1.05820809998841,1
2210,55,Larynx,Right cTBS,Tone,Noise,27,4,1,0.7935632000007901,1
2211,55,Larynx,Right cTBS,Tone,Noise,28,2,1,0.98434380000981,1
2212,55,Larynx,Right cTBS,Tone,Noise,29,4,1,1.4830592999933299,1
2213,55,Larynx,Right cTBS,Tone,Noise,30,4,1,0.9145080000016609,1
2214,55,Larynx,Right cTBS,Tone,Noise,31,3,1,0.653492400000687,1
2215,55,Larynx,Right cTBS,Tone,Noise,32,4,1,0.8049220000102649,1
2216,55,Larynx,Right cTBS,Tone,Noise,33,5,0,1.0382209999952499,1
2217,55,Larynx,Right cTBS,Tone,Noise,34,1,1,1.86637189998874,1
2218,55,Larynx,Right cTBS,Tone,Noise,35,4,1,1.7893370000092501,1
2219,55,Larynx,Right cTBS,Tone,Noise,36,2,1,2.0825530999864,1
2220,55,Larynx,Right cTBS,Tone,Noise,37,2,1,1.22406390000833,1
2221,55,Larynx,Right cTBS,Tone,Noise,38,3,1,1.02080199999909,1
2222,55,Larynx,Right cTBS,Tone,Noise,39,1,1,0.6944650999939771,1
2223,55,Larynx,Right cTBS,Tone,Noise,40,3,0,1.22473380000156,1
2224,55,Larynx,Right cTBS,Tone,Noise,41,3,0,0.8792268000106558,1
2225,55,Larynx,Right cTBS,Tone,Noise,42,5,1,1.15844509999442,1
2226,55,Larynx,Right cTBS,Tone,Noise,43,1,1,1.17327869999281,1
2227,55,Larynx,Right cTBS,Tone,Noise,44,2,1,0.800187600005302,1
2228,55,Larynx,Right cTBS,Tone,Noise,45,3,1,0.743690200004494,1
2229,55,Larynx,Right cTBS,Tone,Noise,46,2,1,2.3459341999987404,1
2230,55,Larynx,Right cTBS,Tone,Noise,47,2,0,1.61805269999604,1
2231,55,Larynx,Right cTBS,Tone,Noise,48,5,1,1.65556990000186,1
2232,55,Larynx,Right cTBS,Tone,Noise,49,4,1,1.1778639999975,1
2233,55,Larynx,Right cTBS,Tone,Noise,50,5,1,1.1874171999952499,1
2234,55,Larynx,Right cTBS,Tone,Noise,51,1,1,1.0339313000004,1
2235,55,Larynx,Right cTBS,Tone,Noise,52,1,1,0.8390668000065491,1
2236,55,Larynx,Right cTBS,Tone,Noise,53,4,1,0.9676219000102719,1
2237,55,Larynx,Right cTBS,Tone,Noise,54,5,1,2.28074459999334,1
2238,55,Larynx,Right cTBS,Tone,Noise,55,2,1,1.2021698000025902,1
2239,55,Larynx,Right cTBS,Tone,Noise,56,4,1,1.4302205999992998,1
2240,55,Larynx,Right cTBS,Tone,Noise,57,4,1,0.8030406999896509,1
2241,55,Larynx,Right cTBS,Tone,Noise,58,3,1,0.772191299998667,1
2242,55,Larynx,Right cTBS,Tone,Noise,59,3,1,1.04231600000639,1
2243,55,Larynx,Right cTBS,Tone,Noise,60,2,1,0.7556210999900942,1
2244,55,Larynx,Right cTBS,Tone,Noise,61,1,0,0.698436599996057,1
2245,55,Larynx,Right cTBS,Tone,Noise,62,4,1,1.79944760000217,1
2246,55,Larynx,Right cTBS,Tone,Noise,63,3,1,0.725677599999472,1
2247,55,Larynx,Right cTBS,Tone,Noise,64,3,1,0.683660800001235,1
2248,55,Larynx,Right cTBS,Tone,Noise,65,3,1,0.8362606000009691,1
2249,55,Larynx,Right cTBS,Tone,Noise,66,1,1,0.737170299995341,1
2250,55,Larynx,Right cTBS,Tone,Noise,67,5,1,1.30947649999871,1
2251,55,Larynx,Right cTBS,Tone,Noise,68,2,0,0.6073487000103339,1
2252,55,Larynx,Right cTBS,Tone,Noise,69,4,1,0.61444649999612,1
2253,55,Larynx,Right cTBS,Tone,Noise,70,2,0,0.5123739999980901,1
