,subj_idx,group_idx,turn_type,task_type,snr_type,trial_num,step_att,response,rt,step_unatnd
1872,55,Larynx,Right cTBS,Tone,Clear,1,2,1,0.915280100001837,1
1873,55,Larynx,Right cTBS,Tone,Clear,2,2,1,0.474398800011841,1
1874,55,Larynx,Right cTBS,Tone,Clear,3,1,0,0.5455350999982329,1
1875,55,Larynx,Right cTBS,Tone,Clear,4,4,1,0.437469800002873,1
1876,55,Larynx,Right cTBS,Tone,Clear,5,1,0,0.408656200001133,1
1877,55,Larynx,Right cTBS,Tone,Clear,6,4,1,0.466801299990038,1
1878,55,Larynx,Right cTBS,Tone,Clear,7,1,0,0.57401640000171,1
1879,55,Larynx,Right cTBS,Tone,Clear,8,4,1,0.442587300000014,1
1880,55,Larynx,Right cTBS,Tone,Clear,9,5,1,0.47088170000643,1
1881,55,Larynx,Right cTBS,Tone,Clear,10,2,0,0.561891199991805,1
1882,55,Larynx,Right cTBS,Tone,Clear,11,2,1,0.48827140001230895,1
1883,55,Larynx,Right cTBS,Tone,Clear,12,3,1,0.44374370000150504,1
1884,55,Larynx,Right cTBS,Tone,Clear,13,3,1,0.420810800002073,1
1885,55,Larynx,Right cTBS,Tone,Clear,14,4,1,0.458407600002829,1
1886,55,Larynx,Right cTBS,Tone,Clear,15,3,1,0.46365580000565404,1
1887,55,Larynx,Right cTBS,Tone,Clear,16,4,1,0.4266590000042921,1
1888,55,Larynx,Right cTBS,Tone,Clear,17,3,0,0.557064900000114,1
1889,55,Larynx,Right cTBS,Tone,Clear,18,3,1,1.40417969999544,1
1890,55,Larynx,Right cTBS,Tone,Clear,19,5,1,0.534935200004838,1
1891,55,Larynx,Right cTBS,Tone,Clear,20,2,0,0.49358819999906706,1
1892,55,Larynx,Right cTBS,Tone,Clear,21,2,0,0.49194360000547,1
1893,55,Larynx,Right cTBS,Tone,Clear,22,4,1,0.511692799991579,1
1894,55,Larynx,Right cTBS,Tone,Clear,23,3,0,1.8963095999933999,1
1895,55,Larynx,Right cTBS,Tone,Clear,24,3,0,0.000366799999028444,1
1896,55,Larynx,Right cTBS,Tone,Clear,25,5,0,0.000627400004304945,1
1897,55,Larynx,Right cTBS,Tone,Clear,26,4,1,2.2444485000014502,1
1898,55,Larynx,Right cTBS,Tone,Clear,27,5,1,0.688295699990704,1
1899,55,Larynx,Right cTBS,Tone,Clear,28,3,1,0.876523799990537,1
1900,55,Larynx,Right cTBS,Tone,Clear,29,2,0,0.689272899995558,1
1901,55,Larynx,Right cTBS,Tone,Clear,30,5,1,0.49484189999930106,1
1902,55,Larynx,Right cTBS,Tone,Clear,31,3,1,0.6707322000002021,1
1903,55,Larynx,Right cTBS,Tone,Clear,32,4,1,0.649330699990969,1
1904,55,Larynx,Right cTBS,Tone,Clear,33,3,1,0.9028956999973159,1
1905,55,Larynx,Right cTBS,Tone,Clear,34,5,1,0.5927035000058821,1
1906,55,Larynx,Right cTBS,Tone,Clear,35,1,0,0.5809456999995749,1
1907,55,Larynx,Right cTBS,Tone,Clear,36,2,0,0.732147500006249,1
1908,55,Larynx,Right cTBS,Tone,Clear,37,1,0,0.556759099999908,1
1909,55,Larynx,Right cTBS,Tone,Clear,38,1,0,0.496836800011806,1
1910,55,Larynx,Right cTBS,Tone,Clear,39,3,1,0.5650117000041059,1
1911,55,Larynx,Right cTBS,Tone,Clear,40,1,0,0.478825099999085,1
1912,55,Larynx,Right cTBS,Tone,Clear,41,2,1,0.6100545000081179,1
1913,55,Larynx,Right cTBS,Tone,Clear,42,3,1,0.48011850001057604,1
1914,55,Larynx,Right cTBS,Tone,Clear,43,5,1,0.6103629999997789,1
1915,55,Larynx,Right cTBS,Tone,Clear,44,4,1,0.514021100010723,1
1916,55,Larynx,Right cTBS,Tone,Clear,45,2,0,0.6067426999943559,1
1917,55,Larynx,Right cTBS,Tone,Clear,46,5,1,0.48162929998943604,1
1918,55,Larynx,Right cTBS,Tone,Clear,47,3,1,0.743173900002148,1
1919,55,Larynx,Right cTBS,Tone,Clear,48,2,0,0.475292400005856,1
1920,55,Larynx,Right cTBS,Tone,Clear,49,1,0,0.6647608000057521,1
1921,55,Larynx,Right cTBS,Tone,Clear,50,3,1,0.599496099996031,1
1922,55,Larynx,Right cTBS,Tone,Clear,51,5,1,0.5324373999901579,1
1923,55,Larynx,Right cTBS,Tone,Clear,52,4,1,0.538263399997959,1
1924,55,Larynx,Right cTBS,Tone,Clear,53,3,1,0.690268999998807,1
1925,55,Larynx,Right cTBS,Tone,Clear,54,3,1,0.797642599995015,1
1926,55,Larynx,Right cTBS,Tone,Clear,55,3,1,0.598704900010489,1
1927,55,Larynx,Right cTBS,Tone,Clear,56,5,1,0.485128700005589,1
1928,55,Larynx,Right cTBS,Tone,Clear,57,4,1,0.7429641000053381,1
1929,55,Larynx,Right cTBS,Tone,Clear,58,2,0,0.621700799994869,1
1930,55,Larynx,Right cTBS,Tone,Clear,59,2,0,0.591966499996488,1
1931,55,Larynx,Right cTBS,Tone,Clear,60,1,0,0.543406400000094,1
1932,55,Larynx,Right cTBS,Tone,Clear,61,4,1,0.557884699999704,1
1933,55,Larynx,Right cTBS,Tone,Clear,62,2,0,0.463565600002767,1
1934,55,Larynx,Right cTBS,Tone,Clear,63,3,1,0.551453300009598,1
1935,55,Larynx,Right cTBS,Tone,Clear,64,4,1,0.49073170000338,1
