,subj_idx,group_idx,turn_type,task_type,snr_type,trial_num,step_att,response,rt,step_unatnd
468,55,Larynx,Left iTBS,Cons,Noise,1,5,1,1.7950042000156798,1
469,55,Larynx,Left iTBS,Cons,Noise,2,3,0,0.731415999995079,1
470,55,Larynx,Left iTBS,Cons,Noise,3,5,1,0.6405333000002429,1
471,55,Larynx,Left iTBS,Cons,Noise,4,2,0,0.594904700003099,1
472,55,Larynx,Left iTBS,Cons,Noise,5,2,0,0.725101499992888,1
473,55,Larynx,Left iTBS,Cons,Noise,6,3,1,0.533948900003452,1
474,55,Larynx,Left iTBS,Cons,Noise,7,2,0,0.628672700026073,1
475,55,Larynx,Left iTBS,Cons,Noise,8,3,1,0.43826399999670707,1
476,55,Larynx,Left iTBS,Cons,Noise,9,4,1,0.665987699991092,1
477,55,Larynx,Left iTBS,Cons,Noise,10,3,0,0.565982300031465,1
478,55,Larynx,Left iTBS,Cons,Noise,11,4,1,0.796048000047449,1
479,55,Larynx,Left iTBS,Cons,Noise,12,4,0,0.8122750000329692,1
480,55,Larynx,Left iTBS,Cons,Noise,13,2,1,0.5897905000019821,1
481,55,Larynx,Left iTBS,Cons,Noise,14,2,1,0.742101899988484,1
482,55,Larynx,Left iTBS,Cons,Noise,15,5,1,0.698321800038684,1
483,55,Larynx,Left iTBS,Cons,Noise,16,3,0,0.533613500010688,1
484,55,Larynx,Left iTBS,Cons,Noise,17,1,1,0.565702099993359,1
485,55,Larynx,Left iTBS,Cons,Noise,18,1,1,0.599132900009863,1
486,55,Larynx,Left iTBS,Cons,Noise,19,3,1,0.679878599999938,1
487,55,Larynx,Left iTBS,Cons,Noise,20,2,0,0.6084742000093679,1
488,55,Larynx,Left iTBS,Cons,Noise,21,3,1,0.551223399990704,1
489,55,Larynx,Left iTBS,Cons,Noise,22,2,0,0.70401079999283,1
490,55,Larynx,Left iTBS,Cons,Noise,23,2,1,0.548010000027716,1
491,55,Larynx,Left iTBS,Cons,Noise,24,4,0,0.653658099996392,1
492,55,Larynx,Left iTBS,Cons,Noise,25,1,1,0.572301200008951,1
493,55,Larynx,Left iTBS,Cons,Noise,26,1,0,0.7247848000261,1
494,55,Larynx,Left iTBS,Cons,Noise,27,5,1,0.531033800041769,1
495,55,Larynx,Left iTBS,Cons,Noise,28,5,1,1.02787660004105,1
496,55,Larynx,Left iTBS,Cons,Noise,29,4,1,0.6181991999619639,1
497,55,Larynx,Left iTBS,Cons,Noise,30,3,0,0.632276899996214,1
498,55,Larynx,Left iTBS,Cons,Noise,31,3,1,0.9034394999616779,1
499,55,Larynx,Left iTBS,Cons,Noise,32,1,0,0.883901700028218,1
500,55,Larynx,Left iTBS,Cons,Noise,33,1,0,1.17173390003154,1
501,55,Larynx,Left iTBS,Cons,Noise,34,5,1,0.6233105999999681,1
502,55,Larynx,Left iTBS,Cons,Noise,35,4,1,0.547569799993653,1
503,55,Larynx,Left iTBS,Cons,Noise,36,4,1,0.673598699970171,1
504,55,Larynx,Left iTBS,Cons,Noise,37,3,0,0.824814500054345,1
505,55,Larynx,Left iTBS,Cons,Noise,38,4,0,1.4421560000046203,1
506,55,Larynx,Left iTBS,Cons,Noise,39,3,1,0.756579799985047,1
507,55,Larynx,Left iTBS,Cons,Noise,40,4,0,0.857606400037184,1
508,55,Larynx,Left iTBS,Cons,Noise,41,4,1,0.7576872999779879,1
509,55,Larynx,Left iTBS,Cons,Noise,42,3,1,1.62022989999969,1
510,55,Larynx,Left iTBS,Cons,Noise,43,1,0,0.569161000021268,1
511,55,Larynx,Left iTBS,Cons,Noise,44,3,1,0.6599713999894449,1
512,55,Larynx,Left iTBS,Cons,Noise,45,2,0,0.5581579999998211,1
513,55,Larynx,Left iTBS,Cons,Noise,46,3,0,0.9750585000147108,1
514,55,Larynx,Left iTBS,Cons,Noise,47,1,1,0.652406899956986,1
515,55,Larynx,Left iTBS,Cons,Noise,48,2,0,0.632531400013249,1
516,55,Larynx,Left iTBS,Cons,Noise,49,4,1,0.645579800009727,1
517,55,Larynx,Left iTBS,Cons,Noise,50,4,0,0.916830300004222,1
518,55,Larynx,Left iTBS,Cons,Noise,51,1,1,0.94023779995041,1
519,55,Larynx,Left iTBS,Cons,Noise,52,5,1,1.8094263999955702,1
520,55,Larynx,Left iTBS,Cons,Noise,53,3,0,0.829773499979638,1
521,55,Larynx,Left iTBS,Cons,Noise,54,5,1,0.692904099996667,1
522,55,Larynx,Left iTBS,Cons,Noise,55,2,0,0.582205899991095,1
523,55,Larynx,Left iTBS,Cons,Noise,56,5,1,0.758523500000592,1
524,55,Larynx,Left iTBS,Cons,Noise,57,3,1,0.6005181000218729,1
525,55,Larynx,Left iTBS,Cons,Noise,58,2,1,3.08589710004162,1
526,55,Larynx,Left iTBS,Cons,Noise,59,4,0,0.9299965999671259,1
527,55,Larynx,Left iTBS,Cons,Noise,60,4,1,0.5035707000060939,1
528,55,Larynx,Left iTBS,Cons,Noise,61,1,0,0.624178199970629,1
529,55,Larynx,Left iTBS,Cons,Noise,62,5,1,0.514703500026371,1
530,55,Larynx,Left iTBS,Cons,Noise,63,2,0,0.5562604999868199,1
531,55,Larynx,Left iTBS,Cons,Noise,64,1,1,0.513904099992942,1
532,55,Larynx,Left iTBS,Cons,Noise,65,3,0,0.805465000041295,1
533,55,Larynx,Left iTBS,Cons,Noise,66,3,1,0.657383700017817,1
534,55,Larynx,Left iTBS,Cons,Noise,67,4,0,0.5626281999866479,1
535,55,Larynx,Left iTBS,Cons,Noise,68,2,1,0.682440300006419,1
536,55,Larynx,Left iTBS,Cons,Noise,69,5,1,0.934513800020795,1
537,55,Larynx,Left iTBS,Cons,Noise,70,2,0,0.5951385000371371,1
538,55,Larynx,Left iTBS,Cons,Noise,71,3,1,1.92800850002095,1
539,55,Larynx,Left iTBS,Cons,Noise,72,2,0,0.601372799952514,1
