,subj_idx,group_idx,turn_type,task_type,snr_type,trial_num,step_att,response,rt,step_unatnd
156,55,Larynx,Left iTBS,Cons,Clear,1,2,1,1.00177219999023,1
157,55,Larynx,Left iTBS,Cons,Clear,2,3,1,0.6258949000039139,1
158,55,Larynx,Left iTBS,Cons,Clear,3,5,1,0.526781799970195,1
159,55,Larynx,Left iTBS,Cons,Clear,4,5,1,0.489346000016667,1
160,55,Larynx,Left iTBS,Cons,Clear,5,2,1,0.5062305000028571,1
161,55,Larynx,Left iTBS,Cons,Clear,6,4,1,0.519621600047685,1
162,55,Larynx,Left iTBS,Cons,Clear,7,1,0,0.44241920002969,1
163,55,Larynx,Left iTBS,Cons,Clear,8,2,0,0.5972835000138729,1
164,55,Larynx,Left iTBS,Cons,Clear,9,3,1,0.5174786000279711,1
165,55,Larynx,Left iTBS,Cons,Clear,10,3,1,0.506631900032517,1
166,55,Larynx,Left iTBS,Cons,Clear,11,1,0,0.473269900016021,1
167,55,Larynx,Left iTBS,Cons,Clear,12,4,1,0.438478299998678,1
168,55,Larynx,Left iTBS,Cons,Clear,13,3,1,0.4919520999537779,1
169,55,Larynx,Left iTBS,Cons,Clear,14,3,1,0.5424722000025209,1
170,55,Larynx,Left iTBS,Cons,Clear,15,1,0,0.49332690000301205,1
171,55,Larynx,Left iTBS,Cons,Clear,16,2,1,0.7167426000232808,1
172,55,Larynx,Left iTBS,Cons,Clear,17,3,1,0.632411799975671,1
173,55,Larynx,Left iTBS,Cons,Clear,18,5,1,0.4955049999989571,1
174,55,Larynx,Left iTBS,Cons,Clear,19,5,1,0.5220308999996629,1
175,55,Larynx,Left iTBS,Cons,Clear,20,3,1,0.6365029999869879,1
176,55,Larynx,Left iTBS,Cons,Clear,21,4,1,0.5070873000076971,1
177,55,Larynx,Left iTBS,Cons,Clear,22,1,0,0.514135500008706,1
178,55,Larynx,Left iTBS,Cons,Clear,23,3,1,0.710275000019465,1
179,55,Larynx,Left iTBS,Cons,Clear,24,5,1,0.662544400023762,1
180,55,Larynx,Left iTBS,Cons,Clear,25,2,0,0.712718900002074,1
181,55,Larynx,Left iTBS,Cons,Clear,26,3,1,0.592198500002269,1
182,55,Larynx,Left iTBS,Cons,Clear,27,4,1,0.5770058000343851,1
183,55,Larynx,Left iTBS,Cons,Clear,28,2,0,0.763030599977355,1
184,55,Larynx,Left iTBS,Cons,Clear,29,4,1,0.60427960002562,1
185,55,Larynx,Left iTBS,Cons,Clear,30,4,1,1.14238209999166,1
186,55,Larynx,Left iTBS,Cons,Clear,31,3,1,0.6233853999874549,1
187,55,Larynx,Left iTBS,Cons,Clear,32,4,1,0.590135099948384,1
188,55,Larynx,Left iTBS,Cons,Clear,33,5,1,1.28559240000322,1
189,55,Larynx,Left iTBS,Cons,Clear,34,1,0,0.60524710000027,1
190,55,Larynx,Left iTBS,Cons,Clear,35,4,1,0.6420143999857829,1
191,55,Larynx,Left iTBS,Cons,Clear,36,2,0,0.6350050999899389,1
192,55,Larynx,Left iTBS,Cons,Clear,37,2,0,1.1046757000149199,1
193,55,Larynx,Left iTBS,Cons,Clear,38,3,1,0.8287166999652981,1
194,55,Larynx,Left iTBS,Cons,Clear,39,1,0,0.519450199964922,1
195,55,Larynx,Left iTBS,Cons,Clear,40,3,1,0.479684800026007,1
196,55,Larynx,Left iTBS,Cons,Clear,41,3,1,0.820826400013175,1
197,55,Larynx,Left iTBS,Cons,Clear,42,5,1,0.5292593000340279,1
198,55,Larynx,Left iTBS,Cons,Clear,43,1,0,0.560315200011246,1
199,55,Larynx,Left iTBS,Cons,Clear,44,2,1,0.515540199994575,1
200,55,Larynx,Left iTBS,Cons,Clear,45,3,1,0.665639100014232,1
201,55,Larynx,Left iTBS,Cons,Clear,46,2,0,0.547293099982198,1
202,55,Larynx,Left iTBS,Cons,Clear,47,2,1,1.17537150002318,1
203,55,Larynx,Left iTBS,Cons,Clear,48,5,1,0.8400000000256109,1
204,55,Larynx,Left iTBS,Cons,Clear,49,4,1,0.7187127999495709,1
205,55,Larynx,Left iTBS,Cons,Clear,50,5,1,0.8141307999612759,1
206,55,Larynx,Left iTBS,Cons,Clear,51,1,0,0.60305169998901,1
207,55,Larynx,Left iTBS,Cons,Clear,52,1,0,1.21145850000903,1
