,subj_idx,group_idx,turn_type,task_type,snr_type,trial_num,step_att,response,rt,step_unatnd
312,55,Larynx,Left iTBS,Tone,Noise,1,5,1,2.1720986000145803,1
313,55,Larynx,Left iTBS,Tone,Noise,2,3,1,1.32638969999971,1
314,55,Larynx,Left iTBS,Tone,Noise,3,1,0,0.9105186999659051,1
315,55,Larynx,Left iTBS,Tone,Noise,4,2,1,0.656503999955021,1
316,55,Larynx,Left iTBS,Tone,Noise,5,2,0,0.507991800026502,1
317,55,Larynx,Left iTBS,Tone,Noise,6,3,1,0.5451762999873611,1
318,55,Larynx,Left iTBS,Tone,Noise,7,3,0,0.59649729996454,1
319,55,Larynx,Left iTBS,Tone,Noise,8,4,1,0.565393100026995,1
320,55,Larynx,Left iTBS,Tone,Noise,9,4,0,0.47302219999255607,1
321,55,Larynx,Left iTBS,Tone,Noise,10,1,1,0.370373599987943,1
322,55,Larynx,Left iTBS,Tone,Noise,11,2,0,0.45234719995642103,1
323,55,Larynx,Left iTBS,Tone,Noise,12,3,1,0.3692692000186071,1
324,55,Larynx,Left iTBS,Tone,Noise,13,5,0,0.531894399959128,1
325,55,Larynx,Left iTBS,Tone,Noise,14,3,1,0.40245479997247496,1
326,55,Larynx,Left iTBS,Tone,Noise,15,4,1,0.8770146000315441,1
327,55,Larynx,Left iTBS,Tone,Noise,16,2,0,0.582637200015597,1
328,55,Larynx,Left iTBS,Tone,Noise,17,1,0,1.14082380000036,1
329,55,Larynx,Left iTBS,Tone,Noise,18,5,1,1.2498977999785,1
330,55,Larynx,Left iTBS,Tone,Noise,19,1,0,0.815427199995611,1
331,55,Larynx,Left iTBS,Tone,Noise,20,4,0,0.696717299986631,1
332,55,Larynx,Left iTBS,Tone,Noise,21,3,0,1.89301910001086,1
333,55,Larynx,Left iTBS,Tone,Noise,22,1,0,2.60108290001517,1
334,55,Larynx,Left iTBS,Tone,Noise,23,5,0,0.8955638000043109,1
335,55,Larynx,Left iTBS,Tone,Noise,24,2,1,1.0063376000034598,1
336,55,Larynx,Left iTBS,Tone,Noise,25,5,0,0.913051600044128,1
337,55,Larynx,Left iTBS,Tone,Noise,26,3,0,1.4652435000171,1
338,55,Larynx,Left iTBS,Tone,Noise,27,2,0,0.604738799971528,1
339,55,Larynx,Left iTBS,Tone,Noise,28,4,0,0.556942399998661,1
340,55,Larynx,Left iTBS,Tone,Noise,29,3,0,0.712626599997748,1
341,55,Larynx,Left iTBS,Tone,Noise,30,1,0,0.730131599993911,1
342,55,Larynx,Left iTBS,Tone,Noise,31,2,0,0.7809097999706859,1
343,55,Larynx,Left iTBS,Tone,Noise,32,3,0,0.725971399981063,1
344,55,Larynx,Left iTBS,Tone,Noise,33,4,0,0.7177732000127429,1
345,55,Larynx,Left iTBS,Tone,Noise,34,3,0,0.956967200036161,1
346,55,Larynx,Left iTBS,Tone,Noise,35,3,0,0.875473699998111,1
347,55,Larynx,Left iTBS,Tone,Noise,36,5,1,0.9582873000181279,1
348,55,Larynx,Left iTBS,Tone,Noise,37,2,0,0.67319130001124,1
349,55,Larynx,Left iTBS,Tone,Noise,38,4,0,1.2492726999917099,1
350,55,Larynx,Left iTBS,Tone,Noise,39,4,0,0.630132800026331,1
351,55,Larynx,Left iTBS,Tone,Noise,40,4,1,0.936209700012114,1
352,55,Larynx,Left iTBS,Tone,Noise,41,3,0,0.842429600015748,1
353,55,Larynx,Left iTBS,Tone,Noise,42,4,0,1.22919390001334,1
354,55,Larynx,Left iTBS,Tone,Noise,43,5,0,1.87972610001452,1
355,55,Larynx,Left iTBS,Tone,Noise,44,2,0,0.913752500026021,1
356,55,Larynx,Left iTBS,Tone,Noise,45,1,0,0.6789565000217409,1
357,55,Larynx,Left iTBS,Tone,Noise,46,2,1,0.9513162999646742,1
358,55,Larynx,Left iTBS,Tone,Noise,47,4,0,1.9626928999787199,1
359,55,Larynx,Left iTBS,Tone,Noise,48,1,0,0.6320601999759671,1
360,55,Larynx,Left iTBS,Tone,Noise,49,3,0,0.717875899979845,1
361,55,Larynx,Left iTBS,Tone,Noise,50,4,0,1.4774823999614501,1
362,55,Larynx,Left iTBS,Tone,Noise,51,1,0,1.65117799997097,1
363,55,Larynx,Left iTBS,Tone,Noise,52,5,1,0.953317100007553,1
364,55,Larynx,Left iTBS,Tone,Noise,53,3,0,0.64135469996836,1
365,55,Larynx,Left iTBS,Tone,Noise,54,3,0,0.8372080999542959,1
366,55,Larynx,Left iTBS,Tone,Noise,55,5,1,0.95029439998325,1
367,55,Larynx,Left iTBS,Tone,Noise,56,2,0,0.918088499980513,1
368,55,Larynx,Left iTBS,Tone,Noise,57,2,0,0.9618735000258308,1
369,55,Larynx,Left iTBS,Tone,Noise,58,3,0,1.26799919997575,1
370,55,Larynx,Left iTBS,Tone,Noise,59,4,1,1.86238030000823,1
