,subj_idx,group_idx,turn_type,task_type,snr_type,trial_num,step_att,response,rt,step_unatnd
0,55,Larynx,Left iTBS,Tone,Clear,1,3,1,1.08331650000764,1
1,55,Larynx,Left iTBS,Tone,Clear,2,4,1,0.744397100002971,1
2,55,Larynx,Left iTBS,Tone,Clear,3,4,1,0.732524699997157,1
3,55,Larynx,Left iTBS,Tone,Clear,4,5,1,0.8001992999925279,1
4,55,Larynx,Left iTBS,Tone,Clear,5,4,1,0.7536485000164251,1
5,55,Larynx,Left iTBS,Tone,Clear,6,4,1,0.544651599950157,1
6,55,Larynx,Left iTBS,Tone,Clear,7,5,1,0.6213131999829781,1
7,55,Larynx,Left iTBS,Tone,Clear,8,5,1,0.580819099966902,1
8,55,Larynx,Left iTBS,Tone,Clear,9,1,0,0.496794099977706,1
9,55,Larynx,Left iTBS,Tone,Clear,10,3,1,0.8638691999949509,1
10,55,Larynx,Left iTBS,Tone,Clear,11,5,1,0.613968499994371,1
11,55,Larynx,Left iTBS,Tone,Clear,12,2,0,0.6056093999650329,1
12,55,Larynx,Left iTBS,Tone,Clear,13,3,1,0.668521999963559,1
13,55,Larynx,Left iTBS,Tone,Clear,14,1,0,0.476927699986845,1
14,55,Larynx,Left iTBS,Tone,Clear,15,1,0,0.487234400003217,1
15,55,Larynx,Left iTBS,Tone,Clear,16,2,1,0.5684725000173779,1
16,55,Larynx,Left iTBS,Tone,Clear,17,3,1,0.570505500014406,1
17,55,Larynx,Left iTBS,Tone,Clear,18,1,0,0.508582199981902,1
18,55,Larynx,Left iTBS,Tone,Clear,19,3,1,0.478658500011079,1
19,55,Larynx,Left iTBS,Tone,Clear,20,3,1,0.5937984000192961,1
20,55,Larynx,Left iTBS,Tone,Clear,21,3,1,0.6783689999720078,1
21,55,Larynx,Left iTBS,Tone,Clear,22,4,1,0.515360399964266,1
22,55,Larynx,Left iTBS,Tone,Clear,23,4,1,0.5097616000566629,1
23,55,Larynx,Left iTBS,Tone,Clear,24,5,1,0.47818149998784104,1
24,55,Larynx,Left iTBS,Tone,Clear,25,3,0,0.6292409999878149,1
25,55,Larynx,Left iTBS,Tone,Clear,26,3,1,0.5557875999948011,1
26,55,Larynx,Left iTBS,Tone,Clear,27,3,1,1.2881899000494699,1
27,55,Larynx,Left iTBS,Tone,Clear,28,1,0,0.511307100008707,1
28,55,Larynx,Left iTBS,Tone,Clear,29,4,1,0.705836699984502,1
29,55,Larynx,Left iTBS,Tone,Clear,30,2,0,0.660614600055851,1
30,55,Larynx,Left iTBS,Tone,Clear,31,2,0,0.905101399985142,1
31,55,Larynx,Left iTBS,Tone,Clear,32,3,1,0.46130369999446,1
32,55,Larynx,Left iTBS,Tone,Clear,33,4,1,0.514059900015127,1
33,55,Larynx,Left iTBS,Tone,Clear,34,5,1,0.508001899986994,1
34,55,Larynx,Left iTBS,Tone,Clear,35,2,0,0.527861399983522,1
35,55,Larynx,Left iTBS,Tone,Clear,36,2,0,0.8200300000025891,1
36,55,Larynx,Left iTBS,Tone,Clear,37,2,0,0.6283027999452321,1
37,55,Larynx,Left iTBS,Tone,Clear,38,1,0,0.481181699957233,1
38,55,Larynx,Left iTBS,Tone,Clear,39,2,1,0.525274999963585,1
39,55,Larynx,Left iTBS,Tone,Clear,40,4,1,0.795442599977832,1
40,55,Larynx,Left iTBS,Tone,Clear,41,3,1,0.671459500037599,1
41,55,Larynx,Left iTBS,Tone,Clear,42,4,1,0.5363532999763271,1
42,55,Larynx,Left iTBS,Tone,Clear,43,1,0,0.509653499990236,1
43,55,Larynx,Left iTBS,Tone,Clear,44,1,0,0.6157384000252929,1
44,55,Larynx,Left iTBS,Tone,Clear,45,2,0,0.507388400030322,1
45,55,Larynx,Left iTBS,Tone,Clear,46,4,1,0.6031135999946861,1
46,55,Larynx,Left iTBS,Tone,Clear,47,4,1,0.524125800002366,1
47,55,Larynx,Left iTBS,Tone,Clear,48,5,1,0.5012925000046379,1
48,55,Larynx,Left iTBS,Tone,Clear,49,4,1,0.480825399979949,1
49,55,Larynx,Left iTBS,Tone,Clear,50,2,0,0.635930099990219,1
