,subj_idx,group_idx,turn_type,task_type,snr_type,trial_num,step_att,response,rt,step_unatnd
1716,55,Larynx,Right iTBS,Cons,Noise,1,3,1,2.09501739998814,1
1717,55,Larynx,Right iTBS,Cons,Noise,2,2,0,1.02434729994275,1
1718,55,Larynx,Right iTBS,Cons,Noise,3,3,0,0.818253000034019,1
1719,55,Larynx,Right iTBS,Cons,Noise,4,5,1,0.670370599953458,1
1720,55,Larynx,Right iTBS,Cons,Noise,5,5,1,0.7523353999713441,1
1721,55,Larynx,Right iTBS,Cons,Noise,6,3,0,1.0776579999364901,1
1722,55,Larynx,Right iTBS,Cons,Noise,7,1,0,0.9530286999652159,1
1723,55,Larynx,Right iTBS,Cons,Noise,8,3,0,0.9253127999836579,1
1724,55,Larynx,Right iTBS,Cons,Noise,9,3,1,0.6432902000378821,1
1725,55,Larynx,Right iTBS,Cons,Noise,10,4,1,0.687802299973555,1
1726,55,Larynx,Right iTBS,Cons,Noise,11,3,1,0.738548900000751,1
1727,55,Larynx,Right iTBS,Cons,Noise,12,1,0,0.5395206999965011,1
1728,55,Larynx,Right iTBS,Cons,Noise,13,5,1,0.542983899940737,1
1729,55,Larynx,Right iTBS,Cons,Noise,14,4,1,0.50452930002939,1
1730,55,Larynx,Right iTBS,Cons,Noise,15,1,0,0.5732064000330871,1
1731,55,Larynx,Right iTBS,Cons,Noise,16,5,1,0.522079600021243,1
1732,55,Larynx,Right iTBS,Cons,Noise,17,2,0,0.799520500004292,1
1733,55,Larynx,Right iTBS,Cons,Noise,18,4,1,0.694596500019543,1
1734,55,Larynx,Right iTBS,Cons,Noise,19,2,1,0.860054800054058,1
1735,55,Larynx,Right iTBS,Cons,Noise,20,2,1,0.7056614999892191,1
1736,55,Larynx,Right iTBS,Cons,Noise,21,1,0,0.5944197999779139,1
1737,55,Larynx,Right iTBS,Cons,Noise,22,2,1,0.7779261999530721,1
1738,55,Larynx,Right iTBS,Cons,Noise,23,3,1,0.716584100038745,1
1739,55,Larynx,Right iTBS,Cons,Noise,24,2,1,0.812410000013188,1
1740,55,Larynx,Right iTBS,Cons,Noise,25,4,0,0.653208600007929,1
1741,55,Larynx,Right iTBS,Cons,Noise,26,2,0,0.85099419998005,1
1742,55,Larynx,Right iTBS,Cons,Noise,27,4,1,0.604947600048035,1
1743,55,Larynx,Right iTBS,Cons,Noise,28,3,1,1.1537116999970702,1
1744,55,Larynx,Right iTBS,Cons,Noise,29,5,1,1.03308680001646,1
1745,55,Larynx,Right iTBS,Cons,Noise,30,3,0,0.674598000012338,1
1746,55,Larynx,Right iTBS,Cons,Noise,31,4,1,0.556672099977732,1
1747,55,Larynx,Right iTBS,Cons,Noise,32,2,1,0.722170200082473,1
1748,55,Larynx,Right iTBS,Cons,Noise,33,3,1,1.0681016000453398,1
1749,55,Larynx,Right iTBS,Cons,Noise,34,4,1,1.34922949993052,1
1750,55,Larynx,Right iTBS,Cons,Noise,35,1,0,0.835721399984322,1
1751,55,Larynx,Right iTBS,Cons,Noise,36,4,1,0.592723899986595,1
1752,55,Larynx,Right iTBS,Cons,Noise,37,3,0,0.6565418000100179,1
1753,55,Larynx,Right iTBS,Cons,Noise,38,5,1,1.01265030005015,1
