,subj_idx,group_idx,turn_type,task_type,snr_type,trial_num,step_att,response,rt,step_unatnd
1404,55,Larynx,Right iTBS,Cons,Clear,1,4,1,0.807466399972327,1
1405,55,Larynx,Right iTBS,Cons,Clear,2,2,0,0.7572603999869899,1
1406,55,Larynx,Right iTBS,Cons,Clear,3,2,1,0.8912901999428872,1
1407,55,Larynx,Right iTBS,Cons,Clear,4,3,1,0.652224899968132,1
1408,55,Larynx,Right iTBS,Cons,Clear,5,3,1,0.501825700048357,1
1409,55,Larynx,Right iTBS,Cons,Clear,6,4,1,0.887982000014745,1
1410,55,Larynx,Right iTBS,Cons,Clear,7,1,0,0.535305599914864,1
1411,55,Larynx,Right iTBS,Cons,Clear,8,1,0,0.5860504999291151,1
1412,55,Larynx,Right iTBS,Cons,Clear,9,2,1,0.5125207999954,1
1413,55,Larynx,Right iTBS,Cons,Clear,10,2,1,0.657475299900398,1
1414,55,Larynx,Right iTBS,Cons,Clear,11,4,1,0.6752108000218872,1
1415,55,Larynx,Right iTBS,Cons,Clear,12,3,1,0.561473099980503,1
1416,55,Larynx,Right iTBS,Cons,Clear,13,5,1,0.766131000011228,1
1417,55,Larynx,Right iTBS,Cons,Clear,14,3,1,0.8505349999759351,1
1418,55,Larynx,Right iTBS,Cons,Clear,15,4,1,0.8327552999835458,1
1419,55,Larynx,Right iTBS,Cons,Clear,16,1,0,0.493552600033581,1
1420,55,Larynx,Right iTBS,Cons,Clear,17,1,0,0.5849880999885501,1
1421,55,Larynx,Right iTBS,Cons,Clear,18,4,1,0.5432526000076899,1
1422,55,Larynx,Right iTBS,Cons,Clear,19,5,1,0.7942373000551021,1
1423,55,Larynx,Right iTBS,Cons,Clear,20,2,0,0.689628500025719,1
1424,55,Larynx,Right iTBS,Cons,Clear,21,3,1,0.6402867999859151,1
1425,55,Larynx,Right iTBS,Cons,Clear,22,3,1,0.5064511999953539,1
1426,55,Larynx,Right iTBS,Cons,Clear,23,2,0,0.616070499992929,1
1427,55,Larynx,Right iTBS,Cons,Clear,24,5,1,0.5573213000316171,1
1428,55,Larynx,Right iTBS,Cons,Clear,25,3,1,0.794574600062333,1
1429,55,Larynx,Right iTBS,Cons,Clear,26,3,1,0.6472605000017211,1
1430,55,Larynx,Right iTBS,Cons,Clear,27,5,1,1.04877989995293,1
1431,55,Larynx,Right iTBS,Cons,Clear,28,1,0,1.12062419997528,1
1432,55,Larynx,Right iTBS,Cons,Clear,29,4,1,0.6714414000744,1
1433,55,Larynx,Right iTBS,Cons,Clear,30,5,1,0.837507999967784,1
1434,55,Larynx,Right iTBS,Cons,Clear,31,1,0,1.1274750999873502,1
1435,55,Larynx,Right iTBS,Cons,Clear,32,5,1,0.748760899994522,1
1436,55,Larynx,Right iTBS,Cons,Clear,33,2,0,0.6668990999460219,1
1437,55,Larynx,Right iTBS,Cons,Clear,34,4,1,0.5078793000429871,1
1438,55,Larynx,Right iTBS,Cons,Clear,35,2,0,0.544955599936657,1
1439,55,Larynx,Right iTBS,Cons,Clear,36,4,1,0.525162000092678,1
1440,55,Larynx,Right iTBS,Cons,Clear,37,3,1,0.601279800059274,1
1441,55,Larynx,Right iTBS,Cons,Clear,38,3,1,0.611168700037524,1
1442,55,Larynx,Right iTBS,Cons,Clear,39,3,1,0.805338899954222,1
1443,55,Larynx,Right iTBS,Cons,Clear,40,1,0,0.559450400061905,1
1444,55,Larynx,Right iTBS,Cons,Clear,41,3,1,0.514535000082105,1
1445,55,Larynx,Right iTBS,Cons,Clear,42,4,1,0.7313928999938071,1
1446,55,Larynx,Right iTBS,Cons,Clear,43,4,1,0.8051829999312758,1
1447,55,Larynx,Right iTBS,Cons,Clear,44,1,0,0.5604472999693829,1
1448,55,Larynx,Right iTBS,Cons,Clear,45,4,1,0.8816912000766021,1
1449,55,Larynx,Right iTBS,Cons,Clear,46,1,0,0.69471169996541,1
1450,55,Larynx,Right iTBS,Cons,Clear,47,2,1,2.69939860003069,1
1451,55,Larynx,Right iTBS,Cons,Clear,48,1,0,0.558194600045681,1
1452,55,Larynx,Right iTBS,Cons,Clear,49,1,0,0.593156500020996,1
1453,55,Larynx,Right iTBS,Cons,Clear,50,3,1,0.738619899959303,1
1454,55,Larynx,Right iTBS,Cons,Clear,51,5,1,0.585464400006458,1
1455,55,Larynx,Right iTBS,Cons,Clear,52,4,1,0.5542399000842121,1
1456,55,Larynx,Right iTBS,Cons,Clear,53,4,1,1.4785176999866998,1
1457,55,Larynx,Right iTBS,Cons,Clear,54,5,1,0.873974399990402,1
1458,55,Larynx,Right iTBS,Cons,Clear,55,2,1,0.764095399994403,1
1459,55,Larynx,Right iTBS,Cons,Clear,56,2,0,0.850858199992217,1
1460,55,Larynx,Right iTBS,Cons,Clear,57,5,1,0.6726723000174389,1
1461,55,Larynx,Right iTBS,Cons,Clear,58,3,1,1.43963799998164,1
1462,55,Larynx,Right iTBS,Cons,Clear,59,2,0,0.708851899951696,1
1463,55,Larynx,Right iTBS,Cons,Clear,60,3,1,0.540300900000148,1
1464,55,Larynx,Right iTBS,Cons,Clear,61,2,0,0.5792415000032629,1
1465,55,Larynx,Right iTBS,Cons,Clear,62,3,1,0.514122500084341,1
1466,55,Larynx,Right iTBS,Cons,Clear,63,2,1,0.7381623000837859,1
1467,55,Larynx,Right iTBS,Cons,Clear,64,5,1,0.9186401000479241,1
1468,55,Larynx,Right iTBS,Cons,Clear,65,4,1,1.12634139996953,1
1469,55,Larynx,Right iTBS,Cons,Clear,66,3,0,0.629145699902438,1
1470,55,Larynx,Right iTBS,Cons,Clear,67,4,1,0.518465000088327,1
1471,55,Larynx,Right iTBS,Cons,Clear,68,4,1,0.971261299913749,1
1472,55,Larynx,Right iTBS,Cons,Clear,69,5,1,0.8003829000517729,1
1473,55,Larynx,Right iTBS,Cons,Clear,70,3,1,0.72566460003145,1
1474,55,Larynx,Right iTBS,Cons,Clear,71,2,1,2.71930529992096,1
1475,55,Larynx,Right iTBS,Cons,Clear,72,3,1,0.784970299922861,1
1476,55,Larynx,Right iTBS,Cons,Clear,73,3,1,0.6417914000339809,1
1477,55,Larynx,Right iTBS,Cons,Clear,74,3,0,0.716818599961698,1
1478,55,Larynx,Right iTBS,Cons,Clear,75,3,0,0.621193200000562,1
1479,55,Larynx,Right iTBS,Cons,Clear,76,2,0,0.7483477999921891,1
1480,55,Larynx,Right iTBS,Cons,Clear,77,5,1,0.632873499998823,1
1481,55,Larynx,Right iTBS,Cons,Clear,78,1,0,0.53760349994991,1
1482,55,Larynx,Right iTBS,Cons,Clear,79,1,0,0.556916899979115,1
1483,55,Larynx,Right iTBS,Cons,Clear,80,4,1,0.582978799939156,1
1484,55,Larynx,Right iTBS,Cons,Clear,81,2,1,0.8970158000011,1
1485,55,Larynx,Right iTBS,Cons,Clear,82,3,1,0.81933929992374,1
1486,55,Larynx,Right iTBS,Cons,Clear,83,2,0,0.660958899999969,1
1487,55,Larynx,Right iTBS,Cons,Clear,84,5,1,0.5707863999996329,1
1488,55,Larynx,Right iTBS,Cons,Clear,85,5,1,1.75998240010813,1
1489,55,Larynx,Right iTBS,Cons,Clear,86,5,1,0.5887054000049828,1
1490,55,Larynx,Right iTBS,Cons,Clear,87,4,1,0.610294800018892,1
1491,55,Larynx,Right iTBS,Cons,Clear,88,3,0,1.2651613999623799,1
1492,55,Larynx,Right iTBS,Cons,Clear,89,1,0,0.619526700000279,1
1493,55,Larynx,Right iTBS,Cons,Clear,90,4,1,0.568771600024775,1
1494,55,Larynx,Right iTBS,Cons,Clear,91,3,1,1.20301219995599,1
1495,55,Larynx,Right iTBS,Cons,Clear,92,4,1,0.738119499990717,1
1496,55,Larynx,Right iTBS,Cons,Clear,93,3,1,0.709992000018246,1
