,subj_idx,group_idx,turn_type,task_type,snr_type,trial_num,step_att,response,rt,step_unatnd
1560,55,Larynx,Right iTBS,Tone,Noise,1,2,0,2.19361550000031,1
1561,55,Larynx,Right iTBS,Tone,Noise,2,2,0,2.6543538999976604,1
1562,55,Larynx,Right iTBS,Tone,Noise,3,1,0,2.43350339995231,1
1563,55,Larynx,Right iTBS,Tone,Noise,4,4,0,3.16041380004026,1
1564,55,Larynx,Right iTBS,Tone,Noise,5,1,0,2.7974698001053198,1
1565,55,Larynx,Right iTBS,Tone,Noise,6,4,1,1.5116937999846398,1
1566,55,Larynx,Right iTBS,Tone,Noise,7,1,0,2.19682459998876,1
1567,55,Larynx,Right iTBS,Tone,Noise,8,4,0,1.00498570001218,1
1568,55,Larynx,Right iTBS,Tone,Noise,9,5,1,0.738655199995264,1
1569,55,Larynx,Right iTBS,Tone,Noise,10,2,0,0.7229478000663221,1
1570,55,Larynx,Right iTBS,Tone,Noise,11,2,1,0.6894680999685079,1
1571,55,Larynx,Right iTBS,Tone,Noise,12,3,1,1.2200717999367001,1
1572,55,Larynx,Right iTBS,Tone,Noise,13,3,0,0.629103900049813,1
1573,55,Larynx,Right iTBS,Tone,Noise,14,4,1,0.9259797999402509,1
1574,55,Larynx,Right iTBS,Tone,Noise,15,3,0,1.1907936000498,1
1575,55,Larynx,Right iTBS,Tone,Noise,16,4,1,1.59799579996616,1
1576,55,Larynx,Right iTBS,Tone,Noise,17,3,0,0.7489724999759351,1
1577,55,Larynx,Right iTBS,Tone,Noise,18,3,0,1.13779960002285,1
1578,55,Larynx,Right iTBS,Tone,Noise,19,5,0,1.10026360000484,1
1579,55,Larynx,Right iTBS,Tone,Noise,20,2,0,1.3444461999461101,1
1580,55,Larynx,Right iTBS,Tone,Noise,21,2,1,1.2575693000108001,1
1581,55,Larynx,Right iTBS,Tone,Noise,22,4,1,0.7846797999227421,1
1582,55,Larynx,Right iTBS,Tone,Noise,23,3,1,0.6832700000377371,1
1583,55,Larynx,Right iTBS,Tone,Noise,24,3,1,2.1456698999973,1
1584,55,Larynx,Right iTBS,Tone,Noise,25,5,1,3.12635590007994,1
1585,55,Larynx,Right iTBS,Tone,Noise,26,4,1,0.891980399959721,1
1586,55,Larynx,Right iTBS,Tone,Noise,27,5,0,1.3299174999119698,1
1587,55,Larynx,Right iTBS,Tone,Noise,28,3,1,0.815946099930443,1
1588,55,Larynx,Right iTBS,Tone,Noise,29,2,0,1.4858715001028002,1
1589,55,Larynx,Right iTBS,Tone,Noise,30,5,1,1.41240070003551,1
1590,55,Larynx,Right iTBS,Tone,Noise,31,3,0,1.5913864999311,1
1591,55,Larynx,Right iTBS,Tone,Noise,32,4,1,1.4808327999198798,1
1592,55,Larynx,Right iTBS,Tone,Noise,33,3,0,0.887554700020701,1
1593,55,Larynx,Right iTBS,Tone,Noise,34,5,1,1.1778679999988502,1
1594,55,Larynx,Right iTBS,Tone,Noise,35,1,0,0.8199192999163639,1
1595,55,Larynx,Right iTBS,Tone,Noise,36,2,1,1.93086329998914,1
1596,55,Larynx,Right iTBS,Tone,Noise,37,1,1,1.58657579997089,1
1597,55,Larynx,Right iTBS,Tone,Noise,38,1,1,1.9071716000326002,1
1598,55,Larynx,Right iTBS,Tone,Noise,39,3,1,1.47558770002797,1
1599,55,Larynx,Right iTBS,Tone,Noise,40,1,1,1.3659848999232098,1
1600,55,Larynx,Right iTBS,Tone,Noise,41,2,1,0.8662940999493,1
1601,55,Larynx,Right iTBS,Tone,Noise,42,3,1,0.855304799973965,1
1602,55,Larynx,Right iTBS,Tone,Noise,43,5,1,0.7694601999828591,1
1603,55,Larynx,Right iTBS,Tone,Noise,44,4,1,0.7192905000410971,1
1604,55,Larynx,Right iTBS,Tone,Noise,45,2,1,0.8055044000502679,1
1605,55,Larynx,Right iTBS,Tone,Noise,46,5,1,0.718584200018086,1
