,subj_idx,group_idx,turn_type,task_type,snr_type,trial_num,step_att,response,rt,step_unatnd
1248,55,Larynx,Right iTBS,Tone,Clear,1,3,1,2.19478329992853,1
1249,55,Larynx,Right iTBS,Tone,Clear,2,3,1,0.7500703999539841,1
1250,55,Larynx,Right iTBS,Tone,Clear,3,1,0,0.548154799966142,1
1251,55,Larynx,Right iTBS,Tone,Clear,4,2,0,1.06250899995212,1
1252,55,Larynx,Right iTBS,Tone,Clear,5,4,1,0.5791855000425129,1
1253,55,Larynx,Right iTBS,Tone,Clear,6,2,0,0.5990407000062989,1
1254,55,Larynx,Right iTBS,Tone,Clear,7,1,0,0.667901300010271,1
1255,55,Larynx,Right iTBS,Tone,Clear,8,5,1,0.580284300027415,1
1256,55,Larynx,Right iTBS,Tone,Clear,9,4,1,0.5294621000066401,1
1257,55,Larynx,Right iTBS,Tone,Clear,10,2,0,0.6426686999620871,1
1258,55,Larynx,Right iTBS,Tone,Clear,11,1,0,1.09332560002804,1
1259,55,Larynx,Right iTBS,Tone,Clear,12,1,0,0.6062559999991209,1
1260,55,Larynx,Right iTBS,Tone,Clear,13,4,1,0.49435439996887,1
1261,55,Larynx,Right iTBS,Tone,Clear,14,3,1,0.753465699963272,1
1262,55,Larynx,Right iTBS,Tone,Clear,15,3,1,0.566129599930719,1
1263,55,Larynx,Right iTBS,Tone,Clear,16,5,1,0.595347000053152,1
1264,55,Larynx,Right iTBS,Tone,Clear,17,4,1,0.5862334999255839,1
1265,55,Larynx,Right iTBS,Tone,Clear,18,2,0,0.6403843999141831,1
1266,55,Larynx,Right iTBS,Tone,Clear,19,2,0,0.967276999959722,1
1267,55,Larynx,Right iTBS,Tone,Clear,20,4,1,0.662372100050561,1
1268,55,Larynx,Right iTBS,Tone,Clear,21,2,1,0.8649278000229971,1
1269,55,Larynx,Right iTBS,Tone,Clear,22,3,1,1.5328742000274398,1
1270,55,Larynx,Right iTBS,Tone,Clear,23,5,1,0.6361549999564889,1
1271,55,Larynx,Right iTBS,Tone,Clear,24,1,0,0.469236599979922,1
1272,55,Larynx,Right iTBS,Tone,Clear,25,1,0,0.645017799921334,1
1273,55,Larynx,Right iTBS,Tone,Clear,26,3,1,0.6622754000127321,1
1274,55,Larynx,Right iTBS,Tone,Clear,27,3,1,0.5650056999875229,1
1275,55,Larynx,Right iTBS,Tone,Clear,28,5,1,1.00622780004051,1
1276,55,Larynx,Right iTBS,Tone,Clear,29,4,1,0.5802067000186071,1
1277,55,Larynx,Right iTBS,Tone,Clear,30,2,0,1.8531134000513703,1
1278,55,Larynx,Right iTBS,Tone,Clear,31,3,1,1.1082838999573101,1
1279,55,Larynx,Right iTBS,Tone,Clear,32,4,1,0.6278956999303771,1
1280,55,Larynx,Right iTBS,Tone,Clear,33,3,1,0.6321809999644761,1
1281,55,Larynx,Right iTBS,Tone,Clear,34,3,1,0.6861849999986589,1
1282,55,Larynx,Right iTBS,Tone,Clear,35,2,0,0.5142409000545739,1
1283,55,Larynx,Right iTBS,Tone,Clear,36,5,1,0.54759600001853,1
1284,55,Larynx,Right iTBS,Tone,Clear,37,5,1,0.557954999967478,1
1285,55,Larynx,Right iTBS,Tone,Clear,38,4,1,0.5518115999875589,1
1286,55,Larynx,Right iTBS,Tone,Clear,39,3,1,0.775724299950525,1
1287,55,Larynx,Right iTBS,Tone,Clear,40,2,0,0.528190099983476,1
1288,55,Larynx,Right iTBS,Tone,Clear,41,3,1,0.6704715000232679,1
1289,55,Larynx,Right iTBS,Tone,Clear,42,3,1,0.685144199989736,1
1290,55,Larynx,Right iTBS,Tone,Clear,43,5,1,0.743757399963215,1
1291,55,Larynx,Right iTBS,Tone,Clear,44,1,0,0.594033499946818,1
1292,55,Larynx,Right iTBS,Tone,Clear,45,2,0,0.7310476999264209,1
1293,55,Larynx,Right iTBS,Tone,Clear,46,2,0,0.655216199927963,1
1294,55,Larynx,Right iTBS,Tone,Clear,47,5,1,0.7352599001023922,1
1295,55,Larynx,Right iTBS,Tone,Clear,48,4,1,0.686495900037698,1
1296,55,Larynx,Right iTBS,Tone,Clear,49,3,1,0.588309000013396,1
1297,55,Larynx,Right iTBS,Tone,Clear,50,3,1,0.9346752000274141,1
1298,55,Larynx,Right iTBS,Tone,Clear,51,2,0,2.02138200006448,1
1299,55,Larynx,Right iTBS,Tone,Clear,52,1,0,0.629489699960686,1
1300,55,Larynx,Right iTBS,Tone,Clear,53,4,1,0.687157100066543,1
1301,55,Larynx,Right iTBS,Tone,Clear,54,1,0,0.67983329994604,1
1302,55,Larynx,Right iTBS,Tone,Clear,55,3,1,0.594734699930996,1
1303,55,Larynx,Right iTBS,Tone,Clear,56,4,1,0.639771900023334,1
1304,55,Larynx,Right iTBS,Tone,Clear,57,5,1,0.6210309999296441,1
1305,55,Larynx,Right iTBS,Tone,Clear,58,3,1,0.0008934999350458381,1
1306,55,Larynx,Right iTBS,Tone,Clear,59,3,1,1.3561283999588303,1
1307,55,Larynx,Right iTBS,Tone,Clear,60,2,0,0.93901360000018,1
1308,55,Larynx,Right iTBS,Tone,Clear,61,4,1,0.5581024000421171,1
1309,55,Larynx,Right iTBS,Tone,Clear,62,3,1,0.607524699997157,1
1310,55,Larynx,Right iTBS,Tone,Clear,63,4,1,0.6262773999478671,1
1311,55,Larynx,Right iTBS,Tone,Clear,64,3,1,0.698838800075464,1
1312,55,Larynx,Right iTBS,Tone,Clear,65,2,0,0.5641696000238879,1
1313,55,Larynx,Right iTBS,Tone,Clear,66,5,1,0.5475387999322271,1
1314,55,Larynx,Right iTBS,Tone,Clear,67,2,0,0.584993500029668,1
1315,55,Larynx,Right iTBS,Tone,Clear,68,3,1,1.14501770003699,1
1316,55,Larynx,Right iTBS,Tone,Clear,69,4,1,0.6632784999674189,1
1317,55,Larynx,Right iTBS,Tone,Clear,70,1,0,0.6402594000101091,1
1318,55,Larynx,Right iTBS,Tone,Clear,71,4,1,0.5223765999544411,1
1319,55,Larynx,Right iTBS,Tone,Clear,72,4,1,0.7037792999763041,1
1320,55,Larynx,Right iTBS,Tone,Clear,73,3,1,0.937531600007787,1
1321,55,Larynx,Right iTBS,Tone,Clear,74,5,1,0.7018225999781861,1
1322,55,Larynx,Right iTBS,Tone,Clear,75,2,0,0.541235800017603,1
1323,55,Larynx,Right iTBS,Tone,Clear,76,1,0,0.556912000058219,1
1324,55,Larynx,Right iTBS,Tone,Clear,77,1,0,0.5906400000676509,1
1325,55,Larynx,Right iTBS,Tone,Clear,78,5,1,0.682638700003736,1
1326,55,Larynx,Right iTBS,Tone,Clear,79,4,1,0.592747699934989,1
1327,55,Larynx,Right iTBS,Tone,Clear,80,2,1,1.5796822999836901,1
1328,55,Larynx,Right iTBS,Tone,Clear,81,2,0,0.666304100072011,1
1329,55,Larynx,Right iTBS,Tone,Clear,82,5,1,0.637110400013626,1
1330,55,Larynx,Right iTBS,Tone,Clear,83,5,1,0.642765299999155,1
1331,55,Larynx,Right iTBS,Tone,Clear,84,3,1,1.15476629999466,1
1332,55,Larynx,Right iTBS,Tone,Clear,85,2,0,0.7787641999311751,1
1333,55,Larynx,Right iTBS,Tone,Clear,86,5,1,0.72354949999135,1
1334,55,Larynx,Right iTBS,Tone,Clear,87,3,1,0.906737699988298,1
1335,55,Larynx,Right iTBS,Tone,Clear,88,2,0,0.627097300020978,1
1336,55,Larynx,Right iTBS,Tone,Clear,89,4,1,0.624635800020769,1
1337,55,Larynx,Right iTBS,Tone,Clear,90,4,1,0.6875923000043261,1
1338,55,Larynx,Right iTBS,Tone,Clear,91,3,1,1.04350190004334,1
1339,55,Larynx,Right iTBS,Tone,Clear,92,4,1,0.615786300040782,1
1340,55,Larynx,Right iTBS,Tone,Clear,93,4,1,1.1098719000583501,1
1341,55,Larynx,Right iTBS,Tone,Clear,94,5,1,0.636843099957332,1
1342,55,Larynx,Right iTBS,Tone,Clear,95,2,0,0.55938920006156,1
1343,55,Larynx,Right iTBS,Tone,Clear,96,1,0,0.5813932999735699,1
1344,55,Larynx,Right iTBS,Tone,Clear,97,3,1,0.6696958000538871,1
1345,55,Larynx,Right iTBS,Tone,Clear,98,3,1,0.7916411999613051,1
1346,55,Larynx,Right iTBS,Tone,Clear,99,4,1,0.63595779996831,1
1347,55,Larynx,Right iTBS,Tone,Clear,100,1,0,0.575103499926627,1
1348,55,Larynx,Right iTBS,Tone,Clear,101,5,1,0.807896799989976,1
1349,55,Larynx,Right iTBS,Tone,Clear,102,3,1,0.881419299985282,1
1350,55,Larynx,Right iTBS,Tone,Clear,103,1,0,0.589122700039297,1
1351,55,Larynx,Right iTBS,Tone,Clear,104,3,1,1.02913309994619,1
1352,55,Larynx,Right iTBS,Tone,Clear,105,1,0,0.519908000016585,1
1353,55,Larynx,Right iTBS,Tone,Clear,106,3,1,1.63032130000647,1
1354,55,Larynx,Right iTBS,Tone,Clear,107,1,0,0.63853170000948,1
1355,55,Larynx,Right iTBS,Tone,Clear,108,2,0,1.13226310000755,1
1356,55,Larynx,Right iTBS,Tone,Clear,109,2,0,0.592059600050561,1
1357,55,Larynx,Right iTBS,Tone,Clear,110,5,1,0.608934400021099,1
1358,55,Larynx,Right iTBS,Tone,Clear,111,3,1,0.7529550000326709,1
1359,55,Larynx,Right iTBS,Tone,Clear,112,4,1,0.654770400025882,1
1360,55,Larynx,Right iTBS,Tone,Clear,113,1,0,0.536660699988715,1
1361,55,Larynx,Right iTBS,Tone,Clear,114,3,1,1.2172345999861103,1
1362,55,Larynx,Right iTBS,Tone,Clear,115,3,1,0.6828812999883671,1
1363,55,Larynx,Right iTBS,Tone,Clear,116,2,1,1.4486633000196898,1
1364,55,Larynx,Right iTBS,Tone,Clear,117,4,1,1.53134590003174,1
1365,55,Larynx,Right iTBS,Tone,Clear,118,5,1,0.682431499939412,1
1366,55,Larynx,Right iTBS,Tone,Clear,119,2,0,0.5839053000090639,1
1367,55,Larynx,Right iTBS,Tone,Clear,120,3,0,1.41070850007236,1
1368,55,Larynx,Right iTBS,Tone,Clear,121,2,0,0.608908800058998,1
1369,55,Larynx,Right iTBS,Tone,Clear,122,2,0,0.869585899985395,1
1370,55,Larynx,Right iTBS,Tone,Clear,123,3,1,0.6907785999355839,1
1371,55,Larynx,Right iTBS,Tone,Clear,124,3,1,0.662315099965781,1
1372,55,Larynx,Right iTBS,Tone,Clear,125,4,1,0.636654900037684,1
1373,55,Larynx,Right iTBS,Tone,Clear,126,5,1,1.1665714000118899,1
1374,55,Larynx,Right iTBS,Tone,Clear,127,4,1,0.8018798000412058,1
1375,55,Larynx,Right iTBS,Tone,Clear,128,5,1,0.7526193999219691,1
